species,life_form,source,notes_1,notes_2
Linaria clementei Haens. ex Boiss.,perennial,,,
Linaria salzmannii Boiss.,annual,,,
"Linaria becerrae Blanca, Cueto & J.Fuentes",annual,"Blanca, G., Cueto, M., & Fuentes, J. (2017). Linaria becerrae (Plantaginaceae), a new endemic species from the southern Spain, and remarks on what Linaria salzmannii is and is not. Phytotaxa, 298(3), 261-268.",manually_curated,
Linaria incarnata (Vent.) Spreng. Spreng. (Vent.),annual,,,
Linaria algarviana Chav.,annual,,,
Linaria onubensis Pau,annual,,,
Linaria spartea (L.) Willd. Willd. (L.),no_life_form_on_database,,,
Linaria viscosa (L.) Dum.Cours. Dum.Cours. (L.),annual,,,
Linaria imzica G√≥miz,annual,"García, F. G. (2004, December). Dos novedades de Marruecos: Linaria imzica Gómiz, sp. nov.(Scrophulariaceae): y Centaurea austromaroccana (Förther & Podlech): Gómiz, comb. & stat. nov.(Compositae). In Anales del Jardín Botánico de Madrid (Vol. 61, No. 2, pp. 205-208).",manually_curated,
Linaria weilleri Emb. & Maire,no_life_form_on_database,,,
Linaria gattefossei Maire & Weiller,no_life_form_on_database,,,
Linaria bordiana subsp. kralikiana (Maire) D.A.Sutton D.A.Sutton (Maire),no_life_form_on_database,,,
Linaria tingitana Boiss. & Reut.,no_life_form_on_database,,,
Linaria galioides Ball,no_life_form_on_database,,,
Linaria multicaulis subsp. aurasiaca (Pomel) D.A.Sutton D.A.Sutton (Pomel),no_life_form_on_database,,,
Linaria pseudoviscosa Murb.,no_life_form_on_database,,,
Linaria multicaulis (L.) Mill. Mill. (L.),no_life_form_on_database,,,
Linaria bordiana Santa & Simonn.,annual,,,
Linaria iranica Hamdi & Assadi,annual,,,
Linaria tenuis (Viv.) Spreng. Spreng. (Viv.),annual,,,
Linaria bipartita (Vent.) Willd. Willd. (Vent.),annual,,,
Linaria multicaulis subsp. heterophylla (Desf.) D.A.Sutton D.A.Sutton (Desf.),no_life_form_on_database,,,
Linaria maroccana Hook.fil.,annual,,,
Linaria pinifolia (Poir.) Thell. Thell. (Poir.),annual,https://www.calflora.org/app/taxon?crn=4898,manually_curated,
Linaria hellenica Turrill,annual,http://www.rjb.csic.es/snapdragons/Paginas/Especie.php?Cod=210&Especie=Linaria%20hellenica&Cod_Genero=14&Genero=Linaria,manually_curated,
Linaria pedunculata (L.) Chaz. Chaz. (L.),annual,,,
Linaria gharbensis Batt. & Pit.,annual,,,
"Linaria mamorensis Mazuecos, Vigalondo & L.S√°ez",no_life_form_on_database,,,
Linaria elegans Munby,annual,,,
Linaria nigricans Lange,annual,,,
Sairocarpus costatus (Wiggins) D.A.Sutton D.A.Sutton (Wiggins),no_life_form_on_database,,,
Sairocarpus nuttallianus (A.DC.) D.A.Sutton D.A.Sutton (A.DC.),annual,,,
Neogaerrhinum strictum (Hook. & Arn.) Rothm. Rothm. (Hook. & Arn.),annual,,,
Sairocarpus watsonii (Vasey & Rose) D.A.Sutton D.A.Sutton (Vasey & Rose),annual,,,
Gambelia juncea (Benth.) D.A.Sutton D.A.Sutton (Benth.),perennial,,,
Gambelia speciosa Nutt.,perennial,,,
Sairocarpus multiflorus (Pennell) D.A.Sutton D.A.Sutton (Pennell),annual,,,
Sairocarpus virga (A.Gray) D.A.Sutton D.A.Sutton (A.Gray),perennial,,,
Sairocarpus cornutus (Benth.) D.A.Sutton D.A.Sutton (Benth.),annual,,,
Sairocarpus coulterianus (A.DC.) D.A.Sutton D.A.Sutton (A.DC.),annual,,,
Sairocarpus elmeri (Rothm.) D.A.Sutton D.A.Sutton (Rothm.),no_life_form_on_database,,,
Sairocarpus vexillocalyculatus (Kellogg) D.A.Sutton D.A.Sutton (Kellogg),annual,,,
Sairocarpus breweri (A.Gray) D.A.Sutton D.A.Sutton (A.Gray),no_life_form_on_database,,,
Sairocarpus subcordatus (A.Gray) D.A.Sutton D.A.Sutton (A.Gray),annual,,,
Sairocarpus vexillocalyculatus subsp. intermedius (D.M.Thomps.) Barringer Barringer (D.M.Thomps.),annual,,,
Howelliella ovata (Eastw.) Rothm. Rothm. (Eastw.),annual,,,
Sairocarpus kingii (S.Watson) D.A.Sutton D.A.Sutton (S.Watson),annual,,,
Mohavea breviflora Coville,annual,,,
Mohavea confertiflora (Benth. ex A.DC.) A.Heller A.Heller (Benth. ex A.DC.),annual,,,
Neogaerrhinum filipes (A.Gray) Rothm. Rothm. (A.Gray),annual,,,
Misopates calycinum (Vent.) Rothm. Rothm. (Vent.),annual,,,
Misopates chrysothales (Font Quer) Rothm. Rothm. (Font Quer),no_life_form_on_database,,,
Misopates orontium (L.) Raf. Raf. (L.),annual,,,
Misopates salvagense D.A.Sutton,no_life_form_on_database,,,
Misopates microcarpum (Pomel) D.A.Sutton D.A.Sutton (Pomel),annual,,,
Acanthorrhinum ramosissimum (Coss. & Durieu) Rothm. Rothm. (Coss. & Durieu),perennial,,,
Pseudomisopates Guemes_indet_sp1,no_life_form_on_database,,,
Antirrhinum L._indet_sp2,no_life_form_on_database,,,
Antirrhinum rothmaleri (P.Silva) Amich Amich (P.Silva),perennial,,,
Antirrhinum lopesianum Rothm.,no_life_form_on_database,,,
Antirrhinum latifolium Mill.,perennial,,,
Antirrhinum molle L.,perennial,,,
Antirrhinum sempervirens Lapeyr.,perennial,,,
Antirrhinum linkianum Boiss. & Reut.,no_life_form_on_database,,,
Antirrhinum litigiosum Pau,no_life_form_on_database,,,
Antirrhinum majus L.,perennial,,,
Antirrhinum cirrhigerum Welw. ex Ficalho,perennial,,,
Antirrhinum tortuosum Bosc ex Vent.,perennial,,,
Antirrhinum graniticum Rothm.,perennial,,,
Antirrhinum pertegasii Rothm.,perennial,,,
Antirrhinum microphyllum Rothm.,perennial,,,
Antirrhinum pulverulentum L√°zaro Ibiza,perennial,,,
Antirrhinum onubense (Fern.Casas) Fern.Casas Fern.Casas (Fern.Casas),no_life_form_on_database,,,
Antirrhinum grosii Font Quer,perennial,,,
Antirrhinum meonanthum Hoffmanns. & Link,perennial,,,
Antirrhinum siculum Mill.,perennial,,,
Antirrhinum australe Rothm.,perennial,,,
"Antirrhinum subbaeticum G√ºemes, Mateu & S√°nchez-G√≥mez",no_life_form_on_database,,,
