"species","life_form"
"Cyrtandra jonesii (F.Br.) G.W.Gillett G.W.Gillett (F.Br.)","perennial"
"Cyrtandra feaniana F.Br.","perennial"
"Cyrtandra aurantiicarpa G.W.Gillett","no_life_form_on_database"
"Cyrtandra richii A.Gray","perennial"
"Cyrtandra pogonantha A.Gray","no_life_form_on_database"
"Cyrtandra leucantha A.C.Sm.","perennial"
"Cyrtandra anthropophagorum Seem.","perennial"
"Cyrtandra pulchella Rich. ex A.Gray","perennial"
"Cyrtandra kusaimontana Hosok.","no_life_form_on_database"
"Cyrtandra occulta A.C.Sm.","perennial"
"Cyrtandra pendula Nadeaud","perennial"
"Cyrtandra cupulata Ridl.","perennial"
"Agalmyla paucipilosa Hilliard & B.L.Burtt","perennial"
"Agalmyla sojoliana Hilliard & B.L.Burtt","perennial"
"Agalmyla glabra (Merr.) Hilliard & B.L.Burtt Hilliard & B.L.Burtt (Merr.)","perennial"
"Agalmyla bilirana Hilliard & B.L.Burtt","perennial"
"Agalmyla parasitica (Lam.) Kuntze Kuntze (Lam.)","perennial"
"Agalmyla biflora (Elmer) Hilliard & B.L.Burtt Hilliard & B.L.Burtt (Elmer)","perennial"
"Agalmyla clarkei (Elmer) B.L.Burtt B.L.Burtt (Elmer)","perennial"
"Metapetrocosmea peltata (Merr. & Chun) W.T.Wang W.T.Wang (Merr. & Chun)","perennial"
"Hexatheca fulva C.B.Clarke","no_life_form_on_database"
"Aeschynanthus longiflorus Blume","perennial"
"Aeschynanthus lancilimbus W.T.Wang","perennial"
"Aeschynanthus andersonii C.B.Clarke","perennial"
"Aeschynanthus micranthus C.B.Clarke","perennial"
"Aeschynanthus bracteatus Wall.","perennial"
"Aeschynanthus rhododendron Ridl.","perennial"
"Aeschynanthus roseoflorus Mendum","perennial"
"Ridleyandra quercifolia (Ridl.) A.Weber A.Weber (Ridl.)","no_life_form_on_database"
"Ridleyandra petiolata (Ridl.) A.Weber A.Weber (Ridl.)","no_life_form_on_database"
"Ridleyandra porphyrantha (A.Weber & Kiew) A.Weber A.Weber (A.Weber & Kiew)","no_life_form_on_database"
"Conandron ramondioides Siebold & Zucc.","perennial"
"Henckelia pumila (D.Don) A.Dietr. A.Dietr. (D.Don)","perennial"
"Henckelia auriculata (J.M.Li & S.X.Zhu) D.J.Middleton & Mich.Möller D.J.Middleton & Mich.Möller (J.M.Li & S.X.Zhu)","perennial"
"Henckelia dielsii (Borza) D.J.Middleton & Mich.Möller D.J.Middleton & Mich.Möller (Borza)","perennial"
"Henckelia anachoreta (Hance) D.J.Middleton & Mich.Möller D.J.Middleton & Mich.Möller (Hance)","annual"
"Henckelia floccosa (Thwaites) A.Weber & B.L.Burtt A.Weber & B.L.Burtt (Thwaites)","perennial"
"Henckelia humboldtiana (Gardner) A.Weber & B.L.Burtt A.Weber & B.L.Burtt (Gardner)","perennial"
"Henckelia incana (Vahl) Spreng. Spreng. (Vahl)","perennial"
"Henckelia urticifolia (Buch.-Ham. ex D.Don) A.Dietr. A.Dietr. (Buch.-Ham. ex D.Don)","perennial"
"Henckelia longisepala (H.W.Li) D.J.Middleton & Mich.Möller D.J.Middleton & Mich.Möller (H.W.Li)","perennial"
"Conoboea_albomarginata_UNMATCHED_indet_sp3","no_life_form_on_database"
"Henckelia corrugata Mendum","no_life_form_on_database"
"Microchirita hamosa (R.Br.) Yin Z.Wang Yin Z.Wang (R.Br.)","annual"
"Microchirita lavandulacea (Stapf) Yin Z.Wang Yin Z.Wang (Stapf)","annual"
"Microchirita involucrata (Craib) Yin Z.Wang Yin Z.Wang (Craib)","perennial"
"Microchirita caliginosa (C.B.Clarke) Yin Z.Wang Yin Z.Wang (C.B.Clarke)","annual"
"Streptocarpus primulifolius Gand.","perennial"
"Streptocarpus formosus (Hilliard & B.L.Burtt) T.J.Edwards T.J.Edwards (Hilliard & B.L.Burtt)","perennial"
"Streptocarpus modestus L.L.Britten","perennial"
"Streptocarpus longiflorus (Hilliard & B.L.Burtt) T.J.Edwards T.J.Edwards (Hilliard & B.L.Burtt)","perennial"
"Streptocarpus caeruleus Hilliard & B.L.Burtt","perennial"
"Streptocarpus parviflorus E.Mey.","perennial"
"Streptocarpus cyaneus S.Moore","perennial"
"Streptocarpus meyeri B.L.Burtt","perennial"
"Streptocarpus fasciatus T.J.Edwards & Kunhardt","perennial"
"Streptocarpus aylae T.J.Edwards","no_life_form_on_database"
"Streptocarpus baudertii L.L.Britten","perennial"
"Streptocarpus johannis L.L.Britten","perennial"
"Streptocarpus lilliputana Bellstedt & T.J.Edwards","no_life_form_on_database"
"Streptocarpus floribundus Weigend & T.J.Edwards","perennial"
"Streptocarpus kentaniensis L.L.Britten & Story","perennial"
"Streptocarpus candidus Hilliard","perennial"
"Streptocarpus gardenii Hook.","perennial"
"Streptocarpus polyanthus Hook.","perennial"
"Streptocarpus silvaticus Hilliard","perennial"
"Streptocarpus pentherianus Fritsch","perennial"
"Streptocarpus prolixus C.B.Clarke","perennial"
"Streptocarpus molweniensis Hilliard","perennial"
"Streptocarpus haygarthii N.E.Br. ex C.B.Clarke","perennial"
"Streptocarpus wendlandii Hort.Dammann","perennial"
"Streptocarpus saundersii Hook.","perennial"
"Streptocarpus porphyrostachys Hilliard","perennial"
"Streptocarpus bindseili Eb.Fisch.","no_life_form_on_database"
"Streptocarpus kungwensis Hilliard & B.L.Burtt","perennial"
"Streptocarpus goetzei Engl.","perennial"
"Streptocarpus compressus B.L.Burtt","perennial"
"Streptocarpus solenanthus Mansf.","perennial"
"Streptocarpus grandis N.E.Br.","perennial"
"Streptocarpus wittei de Wild.","perennial"
"Streptocarpus cooperi C.B.Clarke","perennial"
"Streptocarpus denticulatus Engl.","perennial"
"Streptocarpus dunnii Mast.","perennial"
"Streptocarpus Lindl._indet_sp4","no_life_form_on_database"
"Streptocarpus pumilus B.L.Burtt","perennial"
"Streptocarpus erubescens Hilliard & B.L.Burtt","perennial"
"Streptocarpus rimicola Story","perennial"
"Streptocarpus fanniniae Harv. ex C.B.Clarke","perennial"
"Streptocarpus pusillus Harv. ex C.B.Clarke","perennial"
"Streptocarpus davyi S.Moore","perennial"
"Streptocarpus montigena L.L.Britten","perennial"
"Streptocarpus rexii (Hook.) Lindl. Lindl. (Hook.)","perennial"
"Streptocarpus bolusii C.B.Clarke","perennial"
"Streptocarpus dolichanthus Hilliard & B.L.Burtt","perennial"
"Streptocarpus milanjianus Hilliard & B.L.Burtt","perennial"
"Streptocarpus hirtinervis C.B.Clarke","perennial"
"Streptocarpus galpinii Hook.fil.","perennial"
"Streptocarpus decipiens Hilliard & B.L.Burtt","perennial"
"Streptocarpus hirticapsa B.L.Burtt","perennial"
"Streptocarpus nimbicola Hilliard & B.L.Burtt","perennial"
"Streptocarpus burundianus Hilliard & B.L.Burtt","no_life_form_on_database"
"Streptocarpus albus (E.A.Bruce) I.Darbysh. I.Darbysh. (E.A.Bruce)","perennial"
"Streptocarpus bullatus Mansf.","perennial"
"Streptocarpus schliebenii Mansf.","perennial"
"Streptocarpus montanus Oliv.","perennial"
"Streptocarpus betsiliensis Humbert","no_life_form_on_database"
"Streptocarpus exsertus Hilliard & B.L.Burtt","perennial"
