"species","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Solanum coactiliferum J.M.Black","138","6.936404","0.427243","0.036369","0.002204"
"Poa costiniana Vickery","22","9.309977","0.506389","0.107962","0.013825"
"Eragrostis eriopoda Benth.","295","6.915784","0.39242","0.022848","0.001031"
"Epilobium hirtigerum A.Cunn.","109","8.389461","0.622647","0.059639","0.00279"
"Solanum stelligerum Sm.","54","8.507153","0.542214","0.073786","0.005632"
"Solanum clarkiae Symon","10","8.615749","0.217821","0.068881","0.030414"
"Triodia pungens R.Br.","190","7.34202","0.508381","0.036882","0.001601"
"Echinopogon ovatus (G.Forst.) P.Beauv.","125","8.825506","0.682248","0.061022","0.002433"
"Solanum pungetium R.Br.","18","8.781551","0.246908","0.058197","0.016897"
"Enteropogon acicularis (Lindl.) Lazarides","209","7.295533","0.623596","0.043135","0.001455"
"Grammosolen dixonii (F.Muell. & Tate) Haegi","15","7.272053","0.331165","0.085506","0.020276"
"Ammophila arenaria (L.) Link","191","8.844909","0.668025","0.048337","0.001592"
"Chrysopogon oliganthus Veldkamp","53","8.369234","0.398664","0.054761","0.005739"
"Paspalidium albovillosum S.T.Blake","52","8.130761","0.447845","0.062105","0.005849"
"Triodia brizoides N.T.Burb.","53","7.084356","0.226385","0.031096","0.005739"
"Anthocercis angustifolia F.Muell.","4","7.964316","0.509079","0.254539","0.076035"
"Thyridolepis multiculmis (Pilg.) S.T.Blake","63","6.762991","0.258072","0.032514","0.004828"
"Galium migrans Ehrend. & McGill.","11","7.77647","0.498454","0.15029","0.027649"
"Anthocercis littorea Labill.","25","7.8906","0.633282","0.126656","0.012166"
"Rytidosperma nudiflorum (P.Morris) Connor & Edgar","17","9.344213","0.557583","0.135234","0.017891"
"Lepidium papillosum F.Muell.","62","7.15405","0.484896","0.061582","0.004906"
"Entolasia marginata (R.Br.) Hughes","52","8.766","0.458111","0.063529","0.005849"
"Solanum torvum Sw.","546","9.240133","0.535608","0.022922","0.000557"
"Solanum symonii H.Eichler","40","7.747849","0.584695","0.092448","0.007604"
"Solanum acanthodapis A.R.Bean","1","9.260368",NA,NA,"0.304142"
"Urochloa mosambicensis (Hack.) Dandy","217","8.203022","0.547906","0.037194","0.001402"
"Urochloa trichopus (Hochst.) Stapf","75","7.81119","0.618474","0.071415","0.004055"
"Uranthoecium truncatum (Maiden & Betche) Stapf","67","7.05585","0.460066","0.056206","0.004539"
"Nicotiana simulans N.T.Burb.","132","6.891041","0.470672","0.040967","0.002304"
"Rytidosperma erianthum (Lindl.) Connor & Edgar","72","8.079544","0.56417","0.066488","0.004224"
"Dichelachne rara (R.Br.) Vickery","80","9.089891","0.756241","0.08455","0.003802"
"Lepidium foliosum Desv.","15","8.493467","0.532209","0.137416","0.020276"
"Solanum oligacanthum F.Muell.","36","6.696801","0.63308","0.105513","0.008448"
"Aristida obscura Henrard","78","7.259457","0.490055","0.055488","0.003899"
"Paspalidium jubiflorum (Trin.) Hughes","208","7.458319","0.595458","0.041288","0.001462"
"Chloris pectinata Benth.","187","7.245452","0.600741","0.043931","0.001626"
"Dichelachne inaequiglumis (Hack.) Edgar & Connor","51","9.140197","0.4851","0.067928","0.005964"
"Astrebla lappacea (Lindl.) Domin","138","7.391485","0.638232","0.05433","0.002204"
"Amphipogon caricinus F.Muell.","122","7.204834","0.440824","0.03991","0.002493"
"Eriachne aristidea F.Muell.","204","6.990393","0.521784","0.036532","0.001491"
"Solanum lucani F.Muell.","57","8.069637","0.476785","0.063152","0.005336"
"Glyceria australis C.E.Hubb.","60","8.581751","0.460819","0.059491","0.005069"
"Yakirra australiensis (Domin) Lazarides & R.D.Webster","163","7.166028","0.552893","0.043306","0.001866"
"Nicotiana gossei Domin","24","6.976667","0.238126","0.048607","0.012673"
"Anthocercis sylvicola T.D.Macfarl. & Ward.-Johnson","1","8.819074",NA,NA,"0.304142"
"Aristida hygrometrica R.Br.","103","7.853848","0.531638","0.052384","0.002953"
"Bothriochloa bladhii (Retz.) S.T.Blake","234","8.560388","0.69126","0.045189","0.0013"
"Solanum hoplopetalum Bitter & Summerh.","49","7.35543","0.408181","0.058312","0.006207"
"Anthotroche walcottii F.Muell.","7","7.153724","0.341209","0.128965","0.043449"
"Sorghum intrans F.Muell. ex Benth.","19","8.485029","0.519797","0.11925","0.016007"
"Aristida ramosa R.Br.","96","8.207372","0.409125","0.041756","0.003168"
"Rytidosperma clelandii (Vickery) Connor & Edgar","2","8.269238","0.578488","0.409053","0.152071"
"Solanum hystrix R.Br.","19","7.162658","0.276219","0.063369","0.016007"
"Solanum cleistogamum Symon","197","7.060235","0.40585","0.028916","0.001544"
"Sorghum stipoideum (Ewart & Jean White) C.A.Gardner & C.E.Hubb.","73","8.051901","0.584492","0.06841","0.004166"
"Nicotiana suaveolens Lehm.","55","8.151078","0.624304","0.084181","0.00553"
"Poa poiformis (Labill.) Druce","68","8.450318","0.615808","0.074678","0.004473"
"Solanum oldfieldii F.Muell.","34","7.328453","0.405432","0.069531","0.008945"
"Poa drummondiana Nees","55","7.717403","0.478798","0.064561","0.00553"
"Solanum tudununggae Symon","5","8.267363","0.233609","0.104473","0.060828"
"Solanum discolor R.Br.","14","8.974651","0.283919","0.075881","0.021724"
