"species","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Solanum ditrichum A.R.Bean","12","8.92597","0.266204","0.076846","0.025345"
"Solanum tetrathecum F.Muell.","22","8.154479","0.253647","0.054078","0.013825"
"Solanum ferocissimum Lindl.","137","7.41127","0.509303","0.043513","0.00222"
"Galium gaudichaudii DC.","73","8.223072","0.615788","0.072073","0.004166"
"Solanum corifolium F.Muell.","20","8.824646","0.45637","0.102047","0.015207"
"Solanum ×shirleyanum Domin","3","9.147473","0.171663","0.09911","0.101381"
"Deschampsia chapmanii Petrie","14","9.693512","0.507788","0.135712","0.021724"
"Eriachne pulchella Domin","74","6.921268","0.259821","0.030204","0.00411"
"Eragrostis pergracilis S.T.Blake","142","6.83893","0.370964","0.031131","0.002142"
"Nicotiana cavicola N.T.Burb.","27","6.798659","0.140807","0.027098","0.011265"
"Brachyachne convergens (F.Muell.) Stapf","170","7.804334","0.548164","0.042042","0.001789"
"Solanum densevestitum F.Muell. ex Benth.","16","8.751074","0.356788","0.089197","0.019009"
"Cynodon dactylon (L.) Pers.","941","8.308136","1.003166","0.032702","0.000323"
"Rytidosperma penicillatum (Labill.) Connor & Edgar","62","9.073067","0.740104","0.093993","0.004906"
"Rytidosperma bipartitum (Link) A.M.Humphreys & H.P.Linder","75","8.178755","0.443089","0.051164","0.004055"
"Apium prostratum Labill.","24","8.380329","0.619868","0.12653","0.012673"
"Apium australe Thouars","3","9.548663","0.828357","0.478252","0.101381"
"Triodia melvillei (C.E.Hubb.) Lazarides","54","6.841773","0.325576","0.044305","0.005632"
"Oxychloris scariosa (F.Muell.) Lazarides","128","7.364351","0.60791","0.053732","0.002376"
"Solanum rixosum A.R.Bean","8","8.722687","0.405081","0.143218","0.038018"
"Poa porphyroclados Nees","16","8.054652","0.515731","0.128933","0.019009"
"Cyphanthera microphylla Miers","23","7.427075","0.275185","0.05738","0.013224"
"Eragrostis kennedyae F.Turner","100","6.954978","0.399621","0.039962","0.003041"
"Paraneurachne muelleri (Hack.) S.T.Blake","154","7.068722","0.340909","0.027471","0.001975"
"Capillipedium parviflorum (R.Br.) Stapf","253","8.998771","0.592557","0.037254","0.001202"
"Echinochloa colona (L.) Link","1361","8.386518","0.921248","0.024972","0.000223"
"Cleistochloa subjuncea C.E.Hubb.","60","8.26366","0.421354","0.054397","0.005069"
"Neurachne munroi (F.Muell.) F.Muell.","87","6.910074","0.378052","0.040531","0.003496"
"Hypericum japonicum Thunb.","181","9.334298","0.564706","0.041974","0.00168"
"Eriachne pallescens R.Br.","76","8.855223","0.618293","0.070923","0.004002"
"Epilobium pallidiflorum Sol. ex A.Cunn.","68","9.072634","0.533687","0.064719","0.004473"
"Cyphanthera anthocercidea (F.Muell.) Haegi","2","8.395491","0.435366","0.30785","0.152071"
"Entolasia stricta (R.Br.) Hughes","62","8.690497","0.49076","0.062327","0.004906"
"Poa fawcettiae Vickery","14","9.351007","0.443446","0.118516","0.021724"
"Rytidosperma monticola (Vickery) Connor & Edgar","41","8.368186","0.367447","0.057386","0.007418"
"Anthotroche pannosa Endl.","44","6.897494","0.350869","0.052895","0.006912"
"Solanum phlomoides A.Cunn. ex Benth.","34","7.023624","0.251211","0.043082","0.008945"
"Sporobolus caroli Mez","212","7.490126","0.592088","0.040665","0.001435"
"Corchorus aestuans L.","293","8.732386","0.624912","0.036508","0.001038"
"Rytidosperma pallidum (R.Br.) A.M.Humphreys & H.P.Linder","49","8.551529","0.418483","0.059783","0.006207"
"Solanum beaugleholei Symon","14","7.666133","0.479231","0.12808","0.021724"
"Aristida echinata Henrard","59","7.882412","0.468799","0.061032","0.005155"
"Rytidosperma indutum (Vickery) Connor & Edgar","44","8.509515","0.399789","0.06027","0.006912"
"Brachyachne tenella (R.Br.) C.E.Hubb.","65","7.970528","0.450163","0.055836","0.004679"
"Cyphanthera odgersii (F.Muell.) Haegi","5","6.898343","0.178721","0.079926","0.060828"
"Rytidosperma occidentale (Vickery) Connor & Edgar","17","8.023419","0.529676","0.128465","0.017891"
"Solanum furfuraceum R.Br.","20","8.411409","0.45195","0.101059","0.015207"
"Nicotiana rosulata (S.Moore) Domin","37","6.869584","0.251442","0.041337","0.00822"
"Eremochloa bimaculata Hack.","64","8.498349","0.483209","0.060401","0.004752"
"Solanum carduiforme F.Muell.","11","7.984592","0.274636","0.082806","0.027649"
"Paspalidium rarum (R.Br.) Hughes","202","7.588938","0.611655","0.043036","0.001506"
"Solanum macoorai F.M.Bailey","8","9.329998","0.381428","0.134855","0.038018"
"Nicotiana forsteri Roem. & Schult.","29","8.302779","0.390048","0.07243","0.010488"
"Rytidosperma richardsonii (Cashmore) Connor & Edgar","36","8.350932","0.378808","0.063135","0.008448"
"Solanum asymmetriphyllum Specht","4","8.632399","0.351604","0.175802","0.076035"
"Poa meionectes Vickery","47","8.517295","0.48029","0.070057","0.006471"
"Cardamine lilacina Hook.","36","8.937832","0.525934","0.087656","0.008448"
"Nicotiana rotundifolia Lindl.","44","7.294332","0.370509","0.055856","0.006912"
"Solanum semiarmatum F.Muell.","14","8.310551","0.363035","0.097025","0.021724"
"Solanum mitchellianum Domin","23","8.073695","0.170946","0.035645","0.013224"
"Ectrosia leporina R.Br.","116","8.343485","0.489721","0.045469","0.002622"
"Solanum nobile A.R.Bean","6","8.940618","0.257062","0.104945","0.05069"
"Brachyachne ciliaris (Kuntze) C.E.Hubb.","46","6.879184","0.578057","0.08523","0.006612"
"Solanum petraeum Symon","10","8.382649","0.164226","0.051933","0.030414"
"Sporobolus elongatus R.Br.","74","8.303061","0.559845","0.065081","0.00411"
"Paspalum scrobiculatum L.","572","8.833536","0.654272","0.027356","0.000532"
"Aristida leptopoda Benth.","58","7.887228","0.319493","0.041951","0.005244"
"Solanum chrysotrichum Schltdl.","88","8.88336","0.719505","0.076699","0.003456"
"Solanum cunninghamii Benth.","21","7.690707","0.389505","0.084997","0.014483"
"Arundinella nepalensis Trin.","227","8.533488","0.591933","0.039288","0.00134"
"Spermacoce erosa Harwood","2","8.837295","0.009549","0.006752","0.152071"
"Isachne globosa (Thunb.) Kuntze","250","9.211767","0.675748","0.042738","0.001217"
"Corchorus tridens L.","211","7.778844","0.742468","0.051114","0.001441"
"Solanum amblymerum Dunal","21","8.407253","0.369149","0.080555","0.014483"
"Dichanthium setosum S.T.Blake","21","8.210411","0.387961","0.08466","0.014483"
"Solanum leopoldense Symon","5","8.200242","0.290467","0.129901","0.060828"
"Solanum vansittartense C.A.Gardner","2","8.531373","0.225478","0.159437","0.152071"
"Germainia truncatiglumis (F.Muell. ex Benth.) Chai-Anan","44","8.385739","0.343675","0.051811","0.006912"
"Solanum viridifolium Dunal","23","8.945754","0.496538","0.103535","0.013224"
"Lycianthes shanesii (F.Muell.) A.R.Bean","17","8.474596","0.247548","0.060039","0.017891"
"Agrostis muelleriana Vickery","28","9.81551","0.539892","0.10203","0.010862"
"Duboisia leichhardtii (F.Muell.) F.Muell.","23","7.995113","0.513778","0.10713","0.013224"
"Solanum sisymbriifolium Lam.","372","8.95129","0.539615","0.027978","0.000818"
"Cyphanthera albicans (A.Cunn.) Miers","13","8.155039","0.498217","0.138181","0.023396"
"Crenidium spinescens Haegi","6","6.971309","0.122259","0.049912","0.05069"
"Duboisia myoporoides R.Br.","43","8.844141","0.604328","0.092159","0.007073"
"Setaria palmifolia (J.Koenig) Stapf","181","9.484278","0.494971","0.036791","0.00168"
"Rytidosperma alpicola (Vickery) Connor & Edgar","9","9.344307","0.309995","0.103332","0.033794"
"Poa ensiformis Vickery","16","9.151154","0.351485","0.087871","0.019009"
"Eriachne ciliata R.Br.","130","7.911014","0.582354","0.051076","0.00234"
"Solanum inaequilaterum Domin","5","8.902031","0.566639","0.253409","0.060828"
"Poa hiemata Vickery","14","9.205181","0.582804","0.155761","0.021724"
"Epilobium pedunculare A.Cunn.","33","9.745859","0.55266","0.096206","0.009216"
"Solanum stenopterum A.R.Bean","7","8.073365","0.128129","0.048428","0.043449"
"Lepidium rotundum (Desv.) DC.","53","7.354689","0.498061","0.068414","0.005739"
"Solanum latens A.R.Bean","6","8.171335","0.126254","0.051543","0.05069"
"Iseilema macratherum Domin","91","7.734432","0.448801","0.047047","0.003342"
"Solanum heteropodium Symon","5","8.502384","0.159853","0.071488","0.060828"
"Psilurus incurvus (Gouan) Schinz & Thell.","118","8.346019","0.39094","0.035989","0.002577"
"Lepidium desvauxii Thell.","16","8.654811","0.392625","0.098156","0.019009"
"Asperula gunnii Hook.f.","28","9.185273","0.393987","0.074457","0.010862"
"Poa phillipsiana Vickery","10","9.160666","0.303374","0.095935","0.030414"
"Homopholis belsonii C.E.Hubb.","7","8.04836","0.097952","0.037022","0.043449"
"Xerochloa barbata R.Br.","63","7.550479","0.542765","0.068382","0.004828"
"Lepidium linifolium (Desv.) Steud.","7","6.930072","0.355686","0.134437","0.043449"
"Spartochloa scirpoidea (Steud.) C.E.Hubb.","26","7.45857","0.288794","0.056637","0.011698"
"Dimeria ornithopoda Trin.","141","9.022556","0.705082","0.059379","0.002157"
"Lepidium fasciculatum Thell.","70","7.689983","0.477609","0.057085","0.004345"
"Bothriochloa pertusa (L.) A.Camus","126","8.45594","0.630671","0.056185","0.002414"
"Poa hookeri Vickery","9","8.686063","0.211798","0.070599","0.033794"
"Chrysopogon filipes (Benth.) Reeder","81","8.412771","0.495064","0.055007","0.003755"
"Aristida pruinosa Domin","97","7.705644","0.454799","0.046178","0.003135"
"Solanum abutiloides (Griseb.) Bitter & Lillo","31","8.493357","0.48501","0.08711","0.009811"
"Dichanthium annulatum (Forssk.) Stapf","243","7.956008","1.054149","0.067624","0.001252"
"Cenchrus caliculatus Cav.","55","8.597784","0.464543","0.062639","0.00553"
"Solanum oedipus Symon","3","8.563462","0.107761","0.062216","0.101381"
"Sorghum leiocladum (Hack.) C.E.Hubb.","34","8.308896","0.442269","0.075849","0.008945"
"Solanum opacum A.Br. & C.D.Bouché","109","8.643681","0.712846","0.068278","0.00279"
"Fieldia australis A.Cunn.","23","8.986252","0.294258","0.061357","0.013224"
"Enneapogon purpurascens (R.Br.) P.Beauv.","74","7.482151","0.469739","0.054606","0.00411"
"Boea hygroscopica F.Muell.","15","9.132061","0.455638","0.117645","0.020276"
"Aristida superpendens Domin","33","8.409684","0.377381","0.065694","0.009216"
"Austrochloris dichanthioides (Everist) Lazarides","20","7.336127","0.302075","0.067546","0.015207"
"Cardamine paucijuga Turcz.","46","8.603125","0.543732","0.080169","0.006612"
"Zoysia matrella (L.) Merr.","30","9.315674","0.535804","0.097824","0.010138"
"Solanum cookii Symon","9","8.886036","0.400866","0.133622","0.033794"
"Eragrostis lanicaulis Lazarides","44","7.008499","0.380849","0.057415","0.006912"
"Symonanthus aromaticus (C.A.Gardner) Haegi","5","7.43093","0.11708","0.05236","0.060828"
"Cyperochloa hirsuta Lazarides & L.Watson","3","8.123376","0.344702","0.199014","0.101381"
"Solanum lasiocarpum Dunal","57","9.546989","0.453045","0.060007","0.005336"
"Ludwigia hyssopifolia (G.Don) Exell","295","9.266576","0.614934","0.035803","0.001031"
"Echinopogon caespitosus C.E.Hubb.","44","8.571469","0.419114","0.063184","0.006912"
"Dryopoa dives (F.Muell.) Vickery","15","8.916253","0.384131","0.099182","0.020276"
"Eriachne rara R.Br.","45","8.308376","0.437536","0.065224","0.006759"
"Arundinella setosa Trin.","161","9.032808","0.667674","0.05262","0.001889"
"Solanum stupefactum Symon","2","8.542605","0.12736","0.090057","0.152071"
"Acrachne racemosa (B.Heyne ex Roth) Ohwi","69","7.61196","0.69561","0.083742","0.004408"
"Festuca contracta Kirk","8","8.869142","0.87822","0.310498","0.038018"
"Chrysopogon elongatus (R.Br.) Benth.","43","8.336032","0.449491","0.068547","0.007073"
"Capillipedium spicigerum S.T.Blake","81","8.605899","0.518995","0.057666","0.003755"
"Dichanthium sericeum (R.Br.) A.Camus","193","7.68978","0.768305","0.055304","0.001576"
"Ectrosia scabrida C.E.Hubb.","58","7.875069","0.497684","0.065349","0.005244"
"Solanum jucundum A.R.Bean","31","8.053939","0.169296","0.030406","0.009811"
"Solanum melanospermum F.Muell.","16","7.408929","0.469927","0.117482","0.019009"
"Solanum hapalum A.R.Bean","9","8.930009","0.397058","0.132353","0.033794"
"Thaumastochloa monilifera Sosef & de Koning","12","8.690455","0.28156","0.081279","0.025345"
"Aristida vagans Cav.","49","8.439058","0.371575","0.053082","0.006207"
"Eriachne triseta Nees ex Steud.","72","8.761544","0.487399","0.057441","0.004224"
"Paractaenum novae-hollandiae P.Beauv.","54","6.728461","0.328247","0.044669","0.005632"
"Sorghum laxiflorum F.M.Bailey","67","8.552435","0.551573","0.067385","0.004539"
"Aristida holathera Domin","125","7.420559","0.762841","0.068231","0.002433"
"Ectrosia schultzii Benth.","45","8.123188","0.387339","0.057741","0.006759"
"Poa affinis R.Br.","11","8.811303","0.201516","0.060759","0.027649"
"Lepidium pseudotasmanicum Thell.","46","8.483732","0.450008","0.06635","0.006612"
"Astrebla squarrosa C.E.Hubb.","97","7.667105","0.410567","0.041687","0.003135"
"Solanum dimorphispinum C.T.White","5","8.715344","0.649022","0.290251","0.060828"
"Chionochloa frigida (Vickery) Conert","1","9.879707",NA,NA,"0.304142"
"Xerochloa laniflora Benth.","46","7.50304","0.46028","0.067865","0.006612"
"Triodia fitzgeraldii C.A.Gardner ex N.T.Burb.","3","8.045471","0.100446","0.057993","0.101381"
"Sida cordifolia L.","538","8.830711","0.561866","0.024224","0.000565"
"Triodia bitextura Lazarides","107","7.845145","0.526204","0.05087","0.002842"
"Saxipoa saxicola (R.Br.) Soreng, L.J.Gillespie & S.W.L.Jacobs","9","9.524183","0.433789","0.144596","0.033794"
"Paspalidium globoideum (Domin) Hughes","39","7.96738","0.178137","0.028525","0.007799"
"Hierochloe redolens (Vahl) Roem. & Schult.","68","9.572012","0.541533","0.065671","0.004473"
"Anthotroche myoporoides C.A.Gardner","3","7.161825","0.041352","0.023875","0.101381"
"Lepidium echinatum Hewson","20","6.808048","0.203497","0.045503","0.015207"
"Solanum papaverifolium Symon","16","8.215999","0.22605","0.056512","0.019009"
"Sylvipoa queenslandica (C.E.Hubb.) Soreng, L.J.Gillespie & S.W.L.Jacobs","20","8.832065","0.58791","0.131461","0.015207"
"Solanum cataphractum A.Cunn. ex Benth.","4","8.779158","0.523303","0.261651","0.076035"
"Chamaeraphis hordeacea R.Br.","20","8.361155","0.306224","0.068474","0.015207"
"Triodia intermedia Cheel","28","7.48013","0.286193","0.054085","0.010862"
"Chrysopogon latifolius S.T.Blake","31","8.359921","0.401363","0.072087","0.009811"
"Poa sallacustris N.G.Walsh","2","8.452166","0.044213","0.031263","0.152071"
"Solanum campanulatum R.Br.","14","8.690195","0.25621","0.068475","0.021724"
"Lepidium platypetalum Hewson","46","6.806447","0.166641","0.02457","0.006612"
"Neurachne tenuifolia S.T.Blake","3","7.086579","0.084227","0.048628","0.101381"
"Panicum larcomianum Hughes","50","8.167043","0.464223","0.065651","0.006083"
"Solanum argopetalum A.R.Bean","3","7.83015","0.072424","0.041814","0.101381"
"Rytidosperma fortunae-hibernae (Renvoize) Connor & Edgar","5","9.524088","0.422064","0.188753","0.060828"
"Aira caryophyllea L.","197","8.837035","0.512739","0.036531","0.001544"
"Scandix pecten-veneris L.","260","8.436143","0.566019","0.035103","0.00117"
"Orobanche coerulescens Stephan ex Willd.","30","9.133398","0.666971","0.121772","0.010138"
"Corynephorus canescens (L.) P.Beauv.","173","8.822831","0.388605","0.029545","0.001758"
"Galium rotundifolium L.","117","8.998899","0.45646","0.0422","0.0026"
"Bromus commutatus Schrad.","160","8.859109","0.457639","0.03618","0.001901"
"Epilobium hirsutum L.","618","8.709824","0.5616","0.022591","0.000492"
"Rhinanthus glacialis Personnat","26","9.461491","0.394027","0.077275","0.011698"
"Arabis soyeri Reut. & A.Huet.","11","9.631284","0.377906","0.113943","0.027649"
"Arabis jacquinii Beck","1","9.100637",NA,NA,"0.304142"
"Berula erecta (Huds.) Coville","393","8.309561","0.78818","0.039758","0.000774"
"Bupleurum longifolium L.","33","9.19385","0.41665","0.072529","0.009216"
"Bupleurum aureum Fisch.","1","8.509363",NA,NA,"0.304142"
"Orlaya grandiflora (L.) Hoffm.","85","8.85368","0.40488","0.043915","0.003578"
"Kickxia spuria (L.) Dumort.","93","8.642369","0.511797","0.053071","0.00327"
"Kickxia spuria subsp. integrifolia (Brot.) R.Fern.","56","8.221246","0.372336","0.049755","0.005431"
"Trientalis europaea L.","329","9.093683","0.46481","0.025626","0.000924"
"Festuca heterophylla Lam.","109","8.993973","0.34424","0.032972","0.00279"
"Apera spica-venti (L.) P.Beauv.","235","8.875424","0.337161","0.021994","0.001294"
"Alyssum alyssoides (L.) L.","231","8.718587","0.439579","0.028922","0.001317"
"Apera interrupta (L.) P.Beauv.","62","8.617185","0.457321","0.05808","0.004906"
"Anthriscus caucalis M.Bieb.","171","8.695401","0.439906","0.03364","0.001779"
"Cruciata verna (Scop.) Gutermann & Ehrend.","6","9.095934","0.296724","0.121137","0.05069"
"Helictotrichon pubescens (Huds.) Pilg.","142","8.935173","0.343106","0.028793","0.002142"
"Erysimum odoratum Ehrh.","46","9.022127","0.308641","0.045507","0.006612"
"Anagallis minima (L.) E.H.L.Krause","197","8.81596","0.586801","0.041808","0.001544"
"Sclerochloa dura (L.) P.Beauv.","117","8.461425","0.562106","0.051967","0.0026"
"Poa chaixii Vill.","87","9.204453","0.418709","0.04489","0.003496"
"Festuca filiformis Pourr.","83","9.180162","0.281875","0.03094","0.003664"
"Centaurea stoebe L.","180","8.822202","0.277387","0.020675","0.00169"
"Brachypodium sylvaticum (Huds.) P.Beauv.","550","8.941145","0.598351","0.025514","0.000553"
"Bromus inermis Leyss.","461","8.66448","0.454654","0.021175","0.00066"
"Chaerophyllum temulum L.","181","8.910202","0.342696","0.025472","0.00168"
"Daucus carota L.","554","8.696248","0.674399","0.028652","0.000549"
"Tornabenea tenuissima (A.Chev.) A.Hansen & Sunding","1","9.723164",NA,NA,"0.304142"
"Holcus lanatus L.","372","8.962294","0.501956","0.026025","0.000818"
"Galium elongatum C.Presl","135","9.100266","0.588622","0.050661","0.002253"
"Laserpitium prutenicum L.","41","9.10057","0.298813","0.046667","0.007418"
"Linaria repens (L.) Mill.","54","8.908106","0.550408","0.074901","0.005632"
"Hottonia palustris L.","169","9.017952","0.192351","0.014796","0.0018"
