"species","n_temp","mean_temp","se_temp","within_sp_var_temp","life_form"
"Linaria mamorensis Mazuecos, Vigalondo & L.Sáez",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria maroccana Hook.fil.",51,5.632641,0.001186,1e-06,"annual"
"Linaria mazandaranensis Hamdi & Assadi",1,5.645624,NA,5.4e-05,"perennial"
"Linaria meyeri Kuprian.",1,5.64173,NA,5.4e-05,"no_life_form_on_database"
"Linaria michauxii Chav.",8,5.655859,0.000755,7e-06,"perennial"
"Linaria micrantha (Cav.) Hoffmanns. & Link",60,5.637884,0.001439,1e-06,"annual"
"Linaria microsepala A.Kern.",1,5.631749,NA,5.4e-05,"perennial"
"Linaria multicaulis (L.) Mill.",5,5.642343,0.003547,1.1e-05,"no_life_form_on_database"
"Linaria multicaulis subsp. aurasiaca (Pomel) D.A.Sutton",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria multicaulis subsp. heterophylla (Desf.) D.A.Sutton",15,5.64386,0.002466,4e-06,"no_life_form_on_database"
"Linaria munbyana Boiss. & Reut.",12,5.635304,0.001945,5e-06,"annual"
"Linaria nevadensis (Boiss.) Boiss. & Reut.",2,5.647036,0.000353,2.7e-05,"no_life_form_on_database"
"Linaria nigricans Lange",2,5.634967,0.001785,2.7e-05,"annual"
"Linaria nivea Boiss. & Reut.",12,5.645206,0.000955,5e-06,"perennial"
"Linaria nurensis Boiss. & Hausskn.",3,5.654767,0.000535,1.8e-05,"perennial"
"Linaria oblongifolia (Boiss.) Boiss. & Reut.",12,5.642306,0.001632,5e-06,"annual"
"Linaria oblongifolia subsp. haenseleri (Boiss. & Reut.) Valdés",14,5.642373,0.001538,4e-06,"annual"
"Linaria odora (M.Bieb.) Fisch.",40,5.637887,0.000829,1e-06,"perennial"
"Linaria oligantha Lange",9,5.639309,0.00185,6e-06,"annual"
"Linaria onubensis Pau",1,5.640665,NA,5.4e-05,"annual"
"Linaria orbensis Carretero & Boira",1,5.626001,NA,5.4e-05,"annual"
"Linaria parviracemosa D.A.Sutton",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria pedunculata (L.) Chaz.",14,5.633156,0.001984,4e-06,"annual"
"Linaria pelisseriana (L.) Mill.",86,5.630025,0.001022,1e-06,"annual"
