"species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp"
"Linaria thibetica Franch.","25","5.638724","0.00416","0.000832","2e-06"
"Mabrya rosei (Munz) Elisens","1","5.651963",NA,NA,"5.4e-05"
"Lophospermum breedlovei Elisens","2","5.636929","0.001764","0.001247","2.7e-05"
"Lophospermum turneri Elisens","1","5.638177",NA,NA,"5.4e-05"
"Cymbalaria glutinosa subsp. brevicalcarata Bigazzi & Raffaelli","1","5.632465",NA,NA,"5.4e-05"
"Linaria capraria Moris & De Not.","1","5.619857",NA,NA,"5.4e-05"
"Linaria glacialis Boiss.","2","5.639932","0.009547","0.006751","2.7e-05"
"Linaria becerrae Blanca, Cueto & J.Fuentes","1","5.645624",NA,NA,"5.4e-05"
"Linaria orbensis Carretero & Boira","1","5.626001",NA,NA,"5.4e-05"
"Linaria tursica Valdés & Cabezudo","1","5.642793",NA,NA,"5.4e-05"
"Lophospermum erectum (Hemsl.) Rothm.","1","5.654767",NA,NA,"5.4e-05"
"Linaria meyeri Kuprian.","1","5.64173",NA,NA,"5.4e-05"
"Linaria elegans Munby","1","5.628879",NA,NA,"5.4e-05"
"Linaria tingitana Boiss. & Reut.","3","5.635205","0.001443","0.000833","1.8e-05"
"Linaria corifolia Desf.","9","5.642267","0.005661","0.001887","6e-06"
"Linaria multicaulis subsp. heterophylla (Desf.) D.A.Sutton","15","5.64386","0.00955","0.002466","4e-06"
"Linaria schelkownikowii Schischk.","1","5.644563",NA,NA,"5.4e-05"
"Chaenorhinum flexuosum (Desf.) Lange","9","5.642071","0.010929","0.003643","6e-06"
"Cymbalaria fragilis (Rodr.) A.Chev.","1","5.614769",NA,NA,"5.4e-05"
"Linaria pinifolia (Poir.) Thell.","2","5.637285","0.002771","0.001959","2.7e-05"
"Linaria decipiens Batt.","1","5.635682",NA,NA,"5.4e-05"
"Linaria warionis Pomel","1","5.653015",NA,NA,"5.4e-05"
"Cymbalaria microcalyx (Boiss.) Wettst.","12","5.6249","0.010412","0.003006","5e-06"
"Linaria polygalifolia subsp. aguillonensis (García Mart.) Castrov. & Lago","3","5.621058","0.00459","0.00265","1.8e-05"
"Schweinfurthia pterosperma (A.Rich.) A.Br.","4","5.646405","0.005843","0.002922","1.4e-05"
"Cymbalaria pallida (Ten.) Wettst.","1","5.635325",NA,NA,"5.4e-05"
"Linaria albifrons (Sm.) Spreng.","4","5.650713","0.007349","0.003674","1.4e-05"
"Sairocarpus coulterianus (A.DC.) D.A.Sutton","3","5.652067","0.006166","0.00356","1.8e-05"
"Howelliella ovata (Eastw.) Rothm.","1","5.654417",NA,NA,"5.4e-05"
"Sairocarpus cornutus (Benth.) D.A.Sutton","3","5.654183","0.001126","0.00065","1.8e-05"
"Linaria gattefossei Maire & Weiller","1","5.651963",NA,NA,"5.4e-05"
"Antirrhinum subbaeticum Güemes, Mateu & Sánchez-Gómez","4","5.648178","0.002991","0.001496","1.4e-05"
"Linaria onubensis Pau","1","5.640665",NA,NA,"5.4e-05"
"Linaria polygalifolia subsp. lamarckii (Rouy) D.A.Sutton","1","5.630674",NA,NA,"5.4e-05"
"Acanthorrhinum ramosissimum (Coss. & Durieu) Rothm.","2","5.64362","0.015269","0.010797","2.7e-05"
"Linaria atrofusca Rouy","1","5.644209",NA,NA,"5.4e-05"
"Linaria almijarensis Campo & Amo","1","5.647036",NA,NA,"5.4e-05"
"Linaria imzica Gómiz","1","5.651612",NA,NA,"5.4e-05"
