"species","temp","lon","lat"
"Linaria vulgaris Mill.",71,25.893361,52.524889
"Linaria vulgaris Mill.",69,33.7475,54.477778
"Linaria vulgaris Mill.",70,38.559824,54.854087
"Linaria vulgaris Mill.",48,34.49633,66.53722
"Linaria vulgaris Mill.",50,33.39876,66.54788
"Linaria vulgaris Mill.",58,12.95769,63.70208
"Linaria vulgaris Mill.",70,42.797905,56.228706
"Linaria vulgaris Mill.",67,13.714202,58.052229
"Linaria vulgaris Mill.",57,6.9349,60.6075
"Linaria vulgaris Mill.",35,22.278371,60.457546
"Linaria vulgaris Mill.",50,22.860115,63.6265
"Linaria vulgaris Mill.",61,26.651036,67.093845
"Linaria vulgaris Mill.",29,22.022158,60.466189
"Linaria vulgaris Mill.",24,21.428402,60.793513
"Linaria vulgaris Mill.",61,27.089131,60.904584
"Linaria vulgaris Mill.",60,25.670058,67.559554
"Linaria vulgaris Mill.",60,25.424748,67.718791
"Linaria vulgaris Mill.",79,24.6,46.5
"Linaria vulgaris Mill.",74,19.966667,49.966667
"Linaria vulgaris Mill.",53,0.55,51.833333
"Linaria vulgaris Mill.",65,35.42,59.02
"Linaria vulgaris Mill.",50,14.68976,44.95465
"Linaria vulgaris Mill.",63,11.6693,59.3265
"Linaria vulgaris Mill.",47,18.023939,59.35306
"Linaria vulgaris Mill.",78,32.931306,48.731389
"Linaria vulgaris Mill.",71,124.531475,40.19676
"Linaria vulgaris Mill.",61,16.22981,58.59717
"Linaria vulgaris Mill.",44,16.65823,58.02991
"Linaria vulgaris Mill.",77,4.802986,45.723282
"Linaria vulgaris Mill.",52,12.741602,56.410964
"Linaria vulgaris Mill.",57,140.396333,37.532806
"Linaria vulgaris Mill.",64,140.69554,39.67985
"Linaria vulgaris Mill.",50,137.146967019317,36.7031039310702
"Linaria vulgaris Mill.",55,27.008522,69.877962
"Linaria vulgaris Mill.",55,27.008151,68.909825
"Linaria vulgaris Mill.",51,5.204188,52.24041
"Linaria vulgaris Mill.",59,4.698727,51.789129
"Linaria vulgaris Mill.",48,6.098504,53.227004
"Linaria vulgaris Mill.",65,6.884573,52.141174
"Linaria vulgaris Mill.",67,5.923842,51.20564
"Linaria vulgaris Mill.",82,15.27903,47.13697
"Linaria vulgaris Mill.",61,19.83994,66.60385
"Linaria vulgaris Mill.",72,37.608238,53.423283
"Linaria vulgaris Mill.",118,-5.58,31.56
"Linaria vulgaris Mill.",69,3.91,50.41
"Linaria vulgaris Mill.",67,15.49548,58.7876
"Linaria vulgaris Mill.",74,2.5,42.583333
