"species","life_form","n_bio_13","mean_bio_13","sd_bio_13","se_bio_13","within_sp_var_bio_13"
"Croton sapiifolius","perennial",1,5.505332,NA,NA,0.223476
"Croton scaber","perennial",2,4.917738,0.427966,0.302618,0.111738
"Croton schiedeanus","perennial",123,5.761757,0.448943,0.04048,0.001817
"Croton sellowii","perennial",26,5.178884,0.440594,0.086408,0.008595
"Croton serratifolius","perennial",32,5.203115,0.241567,0.042703,0.006984
"Croton setiger","annual",62,4.272105,0.850248,0.107982,0.003604
"Croton skutchii","no_life_form_on_database",4,6.170938,0.295454,0.147727,0.055869
"Croton smithianus","perennial",28,5.899597,0.371261,0.070162,0.007981
"Croton socotranus","perennial",2,4.738425,0.092767,0.065596,0.111738
"Croton soliman","perennial",20,5.481742,0.516988,0.115602,0.011174
"Croton sonorae","perennial",39,4.498781,0.704773,0.112854,0.00573
"Croton soratensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Croton sousae","perennial",3,5.909052,0.329776,0.190396,0.074492
"Croton speciosus","perennial",NA,NA,NA,NA,NA
"Croton sphaerogynus","perennial",10,5.385844,0.278681,0.088127,0.022348
"Croton spruceanus","perennial",26,5.707623,0.296155,0.058081,0.008595
"Croton stellatopilosus","perennial",NA,NA,NA,NA,NA
"Croton stipulaceus","perennial",7,5.661876,0.103028,0.038941,0.031925
"Croton suaveolens","perennial",23,4.260622,0.368772,0.076894,0.009716
"Croton suberosus","perennial",18,5.409507,0.290895,0.068565,0.012415
"Croton subpannosus","perennial",25,5.092303,0.171315,0.034263,0.008939
"Croton sutup","perennial",4,5.225174,0.093533,0.046766,0.055869
"Croton suyapensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Croton tabascensis","perennial",3,5.570986,0.365085,0.210782,0.074492
"Croton tenuilobus","perennial",NA,NA,NA,NA,NA
"Croton texensis","annual",180,4.306945,0.456938,0.034058,0.001242
"Croton thomasii","perennial",3,5.048864,0.42229,0.243809,0.074492
"Croton tiglium","perennial",99,5.594281,0.353018,0.03548,0.002257
"Croton tonduzii","perennial",2,6.042362,0.240762,0.170244,0.111738
"Croton torreyanus","no_life_form_on_database",23,4.548407,0.567259,0.118282,0.009716
"Croton trichotomus","perennial",15,5.76696,0.303925,0.078473,0.014898
"Croton tricolor","perennial",53,5.058274,0.400096,0.054957,0.004217
"Croton trigonocarpus","perennial",1,5.327876,NA,NA,0.223476
"Croton triqueter","perennial",121,5.278354,0.338637,0.030785,0.001847
"Croton urucurana","perennial",168,5.430483,0.290853,0.02244,0.00133
"Croton varelae","annual",NA,NA,NA,NA,NA
"Croton velutinus","perennial",11,4.905819,0.386797,0.116624,0.020316
"Croton verapazensis","perennial",1,5.153292,NA,NA,0.223476
"Croton vernicosus","perennial",NA,NA,NA,NA,NA
"Croton verreauxii","perennial",23,5.061096,0.460343,0.095988,0.009716
"Croton virletianus","perennial",7,4.722304,0.600887,0.227114,0.031925
"Croton vitifolius","no_life_form_on_database",2,5.654706,0.331168,0.234171,0.111738
"Croton wallichii","perennial",NA,NA,NA,NA,NA
"Croton watsonii","perennial",15,5.264087,0.386879,0.099892,0.014898
"Croton websteri","perennial",3,5.682368,0.197472,0.114011,0.074492
"Croton wigginsii","perennial",16,3.246279,0.712324,0.178081,0.013967
"Croton willdenowii","annual",66,4.927262,0.168879,0.020788,0.003386
"Croton wilsonii","no_life_form_on_database",NA,NA,NA,NA,NA
"Croton xalapensis","perennial",47,5.546815,0.411456,0.060017,0.004755
"Croton yavitensis","perennial",14,5.733213,0.239777,0.064083,0.015963
"Croton yecorensis","perennial",2,5.416989,0.119175,0.084269,0.111738
"Croton ynesae","perennial",NA,NA,NA,NA,NA
"Croton yucatanensis","perennial",13,5.350467,0.320613,0.088922,0.01719
"Croton zambesicus","perennial",23,5.324188,0.475655,0.099181,0.009716
