"species","life_form","n","mean","sd","se"
"Salvia leucodermis","perennial",5,1482.2,254.381013442434,113.762647648514
"Salvia leucophylla","perennial",14,1783.28571428571,164.793777221681,44.0429895597058
"Salvia liguliloba","annual",3,1227,64.8999229583518,37.4699879903904
"Salvia limbata","perennial",9,1462.77777777778,214.642014630045,71.547338210015
"Salvia lineata","perennial",NA,NA,NA,NA
"Salvia littae","perennial",9,1676.55555555556,143.389427008332,47.796475669444
"Salvia lobbii","perennial",NA,NA,NA,NA
"Salvia longispicata","no_life_form_on_database",34,1704.17647058824,158.723978175233,27.2209376852429
"Salvia longistyla","perennial",15,1710.73333333333,144.754208755328,37.3753759868544
"Salvia lophanthoides","perennial",NA,NA,NA,NA
"Salvia lutescens","perennial",24,1061.75,204.402044148717,41.7233925455163
"Salvia lycioides","perennial",33,2102.30303030303,177.568030070253,30.9106264473005
"Salvia lyrata","no_life_form_on_database",81,1530.49382716049,158.543221508899,17.6159135009888
"Salvia macrophylla","perennial",NA,NA,NA,NA
"Salvia madrensis","perennial",2,1917.5,149.199530830362,105.5
"Salvia mairei","perennial",NA,NA,NA,NA
"Salvia majdae","perennial",NA,NA,NA,NA
"Salvia manantlanensis","perennial",2,1656.5,181.726442764943,128.5
"Salvia marashica","perennial",NA,NA,NA,NA
"Salvia margaritae","perennial",2,1364.5,7.77817459305202,5.5
"Salvia maximowicziana","perennial",11,1102.54545454545,90.8563301442047,27.3942142651804
"Salvia maymanica","perennial",NA,NA,NA,NA
"Salvia meiliensis","perennial",NA,NA,NA,NA
"Salvia melaleuca","perennial",4,1318.5,142.156017576933,71.0780087884666
"Salvia melissiflora","perennial",18,1224.16666666667,143.436089477878,33.8082105122294
"Salvia melissodora","perennial",38,1865.86842105263,154.268136355946,25.0255963148559
"Salvia mellifera","perennial",25,1846.36,298.154305687508,59.6308611375016
"Salvia merjamie","perennial",14,1833.78571428571,329.014888269964,87.9329276467081
"Salvia mexiae","perennial",NA,NA,NA,NA
"Salvia mexicana","perennial",54,1786.25925925926,171.162968264462,23.2923297282291
"Salvia microphylla","perennial",75,1874.13333333333,197.772687790898,22.8368229068862
"Salvia microstegia","perennial",4,1403,148.483444643951,74.2417223219756
"Salvia miltiorrhiza","perennial",55,1310.8,104.179225909541,14.0475239559479
"Salvia minarum","perennial",15,1445.26666666667,170.469296216008,44.0149830189531
"Salvia miniata","perennial",4,1676,132.068164218331,66.0340821091654
"Salvia misella","annual",142,1820.84507042254,199.391318297478,16.7325477321445
"Salvia mocinoi","perennial",46,1717.9347826087,122.642099382972,18.0825910399687
"Salvia modesta","perennial",NA,NA,NA,NA
"Salvia mohavensis","perennial",16,2743.875,163.707411764607,40.9268529411518
"Salvia moniliformis","perennial",5,1738,61.8667923849297,27.6676706645138
"Salvia montbretii","perennial",NA,NA,NA,NA
"Salvia moorcroftiana","perennial",17,1654.05882352941,261.513018458985,63.426223387088
"Salvia muelleri","perennial",NA,NA,NA,NA
"Salvia muirii","no_life_form_on_database",1,1591,NA,NA
"Salvia multicaulis","perennial",12,1752.08333333333,440.16039604038,127.063361570263
"Salvia munzii","perennial",13,1771.15384615385,161.17373966926,44.7015525104462
"Salvia muscarioides","perennial",4,1942.25,243.460297926924,121.730148963462
"Salvia myriantha","no_life_form_on_database",4,1637.5,56.4653285949292,28.2326642974646
"Salvia namaensis","no_life_form_on_database",9,2228.66666666667,252.130918373769,84.0436394579229
"Salvia nana","perennial",18,1818.66666666667,178.398430486369,42.0489133166496
"Salvia nanchuanensis","annual",5,1232.6,31.7301118813029,14.1901374200534
"Salvia napifolia","perennial",NA,NA,NA,NA
"Salvia nepetoides","no_life_form_on_database",12,1666.41666666667,106.70729576602,30.8037429675045
"Salvia nervata","perennial",6,1500.66666666667,65.2155400703442,26.6241327453956
"Salvia nervosa","perennial",14,1592.07142857143,151.629844984785,40.524780681622
"Salvia neurepia","no_life_form_on_database",1,1740,NA,NA
