"species","life_form","n_bio_13","mean_bio_13","sd_bio_13","se_bio_13","within_sp_var_bio_13"
"Salvia glechomifolia","no_life_form_on_database",16,5.093743,0.448008,0.112002,0.013962
"Salvia glutinosa","perennial",113,4.588777,0.315375,0.029668,0.001977
"Salvia gracilipes","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia graciliramulosa","perennial",1,4.382027,NA,NA,0.223385
"Salvia gravida","no_life_form_on_database",6,5.458865,0.04174,0.01704,0.037231
"Salvia greatae","perennial",1,2.772589,NA,NA,0.223385
"Salvia greggii","perennial",45,4.4603,0.393145,0.058607,0.004964
"Salvia grewiifolia","perennial",21,5.575749,0.24274,0.05297,0.010637
"Salvia guadalajarensis","perennial",3,5.349762,0.291699,0.168412,0.074462
"Salvia guaranitica","perennial",30,5.168469,0.204229,0.037287,0.007446
"Salvia haenkei","perennial",12,4.955916,0.573662,0.165602,0.018615
"Salvia handelii","perennial",2,4.83562,0.256906,0.18166,0.111692
"Salvia heerii","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia heldreichiana","perennial",NA,NA,NA,NA,NA
"Salvia helianthemifolia","perennial",21,5.204113,0.600986,0.131146,0.010637
"Salvia henryi","perennial",25,4.08611,0.355802,0.07116,0.008935
"Salvia herbacea","perennial",7,5.415274,0.396917,0.150021,0.031912
"Salvia herbanica","perennial",NA,NA,NA,NA,NA
"Salvia heterochroa","perennial",2,4.681788,0.195859,0.138493,0.111692
"Salvia heterofolia","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia hians","perennial",NA,NA,NA,NA,NA
"Salvia hidalgensis","no_life_form_on_database",1,4.812184,NA,NA,0.223385
"Salvia hierosolymitana","perennial",1,4.905275,NA,NA,0.223385
"Salvia hilarii","perennial",NA,NA,NA,NA,NA
"Salvia hintonii","perennial",2,5.510166,0.114298,0.080821,0.111692
"Salvia hirtella","perennial",NA,NA,NA,NA,NA
"Salvia hispanica","annual",58,5.351221,0.439156,0.057664,0.003851
"Salvia holwayi","perennial",7,5.950217,0.321344,0.121457,0.031912
"Salvia honania","annual",7,5.239043,0.130605,0.049364,0.031912
"Salvia huberi","perennial",NA,NA,NA,NA,NA
"Salvia hupehensis","perennial",3,5.363194,0.167109,0.09648,0.074462
"Salvia hydrangea","perennial",NA,NA,NA,NA,NA
"Salvia hylocharis","perennial",3,5.076964,0.207016,0.119521,0.074462
"Salvia hypargeia","perennial",1,4.804021,NA,NA,0.223385
"Salvia hypoleuca","perennial",NA,NA,NA,NA,NA
"Salvia ibugana","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia inconspicua","no_life_form_on_database",17,5.402451,0.309673,0.075107,0.01314
"Salvia indica","perennial",2,4.857373,0.098827,0.069881,0.111692
"Salvia infuscata","perennial",3,5.823224,0.236298,0.136427,0.074462
"Salvia interrupta","perennial",2,4.772262,0.700879,0.495596,0.111692
"Salvia involucrata","perennial",14,5.090354,0.507156,0.135543,0.015956
"Salvia iodantha","perennial",29,5.455723,0.34834,0.064685,0.007703
"Salvia ionocalyx","no_life_form_on_database",2,6.054042,0.533567,0.377289,0.111692
"Salvia isensis","perennial",NA,NA,NA,NA,NA
"Salvia jaimehintoniana","perennial",8,5.014443,0.493372,0.174433,0.027923
"Salvia japonica","annual",110,5.52011,0.359652,0.034291,0.002031
"Salvia jorgehintoniana","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia judaica","no_life_form_on_database",3,5.028124,0.379156,0.218906,0.074462
"Salvia jurisicii","perennial",NA,NA,NA,NA,NA
"Salvia karwinskii","perennial",23,5.766135,0.379629,0.079158,0.009712
"Salvia keerlii","perennial",30,4.869003,0.48048,0.087723,0.007446
"Salvia kiangsiensis","annual",5,5.504386,0.292483,0.130802,0.044677
"Salvia kiaometiensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia korolkovii","perennial",NA,NA,NA,NA,NA
"Salvia koyamae","perennial",2,5.320326,0.031125,0.022009,0.111692
"Salvia kronenburgii","perennial",NA,NA,NA,NA,NA
"Salvia kurdica","perennial",NA,NA,NA,NA,NA
"Salvia lachnostachys","no_life_form_on_database",8,5.346107,0.130736,0.046222,0.027923
"Salvia laevis","perennial",26,5.136791,0.493437,0.096771,0.008592
"Salvia lanata","no_life_form_on_database",2,5.943484,1.030323,0.728548,0.111692
"Salvia lanceolata","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia langlassei","perennial",10,5.631587,0.224026,0.070843,0.022338
"Salvia languidula","perennial",13,5.510729,0.209487,0.058101,0.017183
"Salvia lanigera","perennial",13,3.493072,0.523515,0.145197,0.017183
"Salvia lankongensis","perennial",NA,NA,NA,NA,NA
"Salvia lasiantha","perennial",31,5.20925,0.544931,0.097872,0.007206
"Salvia lasiocephala","annual",82,5.633069,0.431682,0.047671,0.002724
"Salvia lavanduloides","perennial",67,5.431361,0.475192,0.058054,0.003334
"Salvia leptophylla","no_life_form_on_database",17,4.945565,0.564581,0.136931,0.01314
"Salvia leptostachys","annual",24,5.106621,0.464653,0.094847,0.009308
"Salvia leriifolia","perennial",NA,NA,NA,NA,NA
"Salvia leucantha","perennial",30,5.289713,0.518688,0.094699,0.007446
"Salvia leucocephala","perennial",NA,NA,NA,NA,NA
"Salvia leucochlamys","perennial",1,5.541264,NA,NA,0.223385
"Salvia leucodermis","perennial",5,5.806771,0.043819,0.019596,0.044677
"Salvia leucophylla","perennial",14,4.204391,0.573124,0.153174,0.015956
"Salvia liguliloba","annual",3,5.665513,0.48016,0.277221,0.074462
"Salvia limbata","perennial",9,4.223349,0.28962,0.09654,0.024821
"Salvia lineata","perennial",NA,NA,NA,NA,NA
"Salvia littae","perennial",9,5.427612,0.358232,0.119411,0.024821
"Salvia lobbii","perennial",NA,NA,NA,NA,NA
"Salvia longispicata","no_life_form_on_database",34,5.560439,0.415352,0.071232,0.00657
"Salvia longistyla","perennial",15,5.468063,0.313667,0.080988,0.014892
"Salvia lophanthoides","perennial",NA,NA,NA,NA,NA
"Salvia lutescens","perennial",24,5.546849,0.303939,0.062041,0.009308
"Salvia lycioides","perennial",33,4.275584,0.30982,0.053933,0.006769
"Salvia lyrata","no_life_form_on_database",81,4.982481,0.223263,0.024807,0.002758
"Salvia macrophylla","perennial",NA,NA,NA,NA,NA
"Salvia madrensis","perennial",2,5.760407,0.113469,0.080235,0.111692
"Salvia mairei","perennial",NA,NA,NA,NA,NA
"Salvia majdae","perennial",NA,NA,NA,NA,NA
"Salvia manantlanensis","perennial",2,5.618191,0.194527,0.137551,0.111692
"Salvia marashica","perennial",NA,NA,NA,NA,NA
"Salvia margaritae","perennial",2,3.830528,0.349324,0.247009,0.111692
"Salvia maximowicziana","perennial",11,4.788438,0.370166,0.111609,0.020308
"Salvia maymanica","perennial",NA,NA,NA,NA,NA
"Salvia meiliensis","perennial",NA,NA,NA,NA,NA
"Salvia melaleuca","perennial",4,5.481418,0.256464,0.128232,0.055846
"Salvia melissiflora","perennial",18,5.327254,0.224734,0.05297,0.01241
"Salvia melissodora","perennial",38,5.143263,0.431142,0.06994,0.005879
"Salvia mellifera","perennial",25,4.268712,0.584705,0.116941,0.008935
"Salvia merjamie","perennial",14,5.153901,0.623513,0.166641,0.015956
"Salvia mexiae","perennial",NA,NA,NA,NA,NA
"Salvia mexicana","perennial",54,5.371165,0.48123,0.065487,0.004137
"Salvia microphylla","perennial",75,4.994052,0.536719,0.061975,0.002978
"Salvia microstegia","perennial",4,4.915509,0.396064,0.198032,0.055846
"Salvia miltiorrhiza","perennial",55,5.199067,0.293429,0.039566,0.004062
"Salvia minarum","perennial",15,5.46616,0.205096,0.052956,0.014892
"Salvia miniata","perennial",4,5.79069,0.389338,0.194669,0.055846
"Salvia misella","annual",142,5.317102,0.495678,0.041596,0.001573
"Salvia mocinoi","perennial",46,5.636867,0.282358,0.041631,0.004856
"Salvia modesta","perennial",NA,NA,NA,NA,NA
"Salvia mohavensis","perennial",16,3.358139,0.475365,0.118841,0.013962
"Salvia moniliformis","perennial",5,5.277338,0.259058,0.115854,0.044677
"Salvia montbretii","perennial",NA,NA,NA,NA,NA
"Salvia moorcroftiana","perennial",17,4.765756,0.78375,0.190087,0.01314
"Salvia muelleri","perennial",NA,NA,NA,NA,NA
"Salvia muirii","no_life_form_on_database",1,4.26268,NA,NA,0.223385
"Salvia multicaulis","perennial",12,4.244462,0.751757,0.217014,0.018615
