"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Salvia handelii","perennial",2,8.831873,0.053466,0.037806,0.152071
"Salvia heerii","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia heldreichiana","perennial",NA,NA,NA,NA,NA
"Salvia helianthemifolia","perennial",21,8.469112,0.534927,0.116731,0.014483
"Salvia henryi","perennial",25,7.270837,0.345337,0.069067,0.012166
"Salvia herbacea","perennial",7,8.691975,0.531129,0.200748,0.043449
"Salvia herbanica","perennial",NA,NA,NA,NA,NA
"Salvia heterochroa","perennial",2,9.276731,0.20048,0.141761,0.152071
"Salvia heterofolia","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia hians","perennial",NA,NA,NA,NA,NA
"Salvia hidalgensis","no_life_form_on_database",1,7.793999,NA,NA,0.304142
"Salvia hierosolymitana","perennial",1,7.777374,NA,NA,0.304142
"Salvia hilarii","perennial",NA,NA,NA,NA,NA
"Salvia hintonii","perennial",2,8.733099,0.20306,0.143585,0.152071
"Salvia hirtella","perennial",NA,NA,NA,NA,NA
"Salvia hispanica","annual",58,8.6778,0.467664,0.061407,0.005244
"Salvia holwayi","perennial",7,9.101914,0.142611,0.053902,0.043449
"Salvia honania","annual",7,9.168439,0.085659,0.032376,0.043449
"Salvia huberi","perennial",NA,NA,NA,NA,NA
"Salvia hupehensis","perennial",3,9.279089,0.158151,0.091309,0.101381
"Salvia hydrangea","perennial",NA,NA,NA,NA,NA
"Salvia hylocharis","perennial",3,8.847405,0.145728,0.084136,0.101381
"Salvia hypargeia","perennial",1,8.557375,NA,NA,0.304142
"Salvia hypoleuca","perennial",NA,NA,NA,NA,NA
"Salvia ibugana","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia inconspicua","no_life_form_on_database",17,8.656151,0.313158,0.075952,0.017891
"Salvia indica","perennial",2,8.173609,0.031503,0.022276,0.152071
"Salvia infuscata","perennial",3,8.887997,0.73612,0.424999,0.101381
"Salvia interrupta","perennial",2,8.075478,0.678241,0.479589,0.152071
"Salvia involucrata","perennial",14,8.371376,0.659913,0.176369,0.021724
"Salvia iodantha","perennial",29,8.646806,0.253823,0.047134,0.010488
"Salvia ionocalyx","no_life_form_on_database",2,9.089442,0.10245,0.072443,0.152071
"Salvia isensis","perennial",NA,NA,NA,NA,NA
"Salvia jaimehintoniana","perennial",8,8.16869,0.345729,0.122234,0.038018
"Salvia japonica","annual",110,9.477381,0.307162,0.029287,0.002765
"Salvia jorgehintoniana","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia judaica","no_life_form_on_database",3,8.521907,0.408992,0.236132,0.101381
"Salvia jurisicii","perennial",NA,NA,NA,NA,NA
"Salvia karwinskii","perennial",23,9.055733,0.367249,0.076577,0.013224
"Salvia keerlii","perennial",30,8.128266,0.434682,0.079362,0.010138
"Salvia kiangsiensis","annual",5,9.448125,0.07473,0.03342,0.060828
"Salvia kiaometiensis","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia korolkovii","perennial",NA,NA,NA,NA,NA
"Salvia koyamae","perennial",2,9.361988,0.000425,0.000301,0.152071
"Salvia kronenburgii","perennial",NA,NA,NA,NA,NA
"Salvia kurdica","perennial",NA,NA,NA,NA,NA
"Salvia lachnostachys","no_life_form_on_database",8,9.454739,0.137355,0.048562,0.038018
"Salvia laevis","perennial",26,8.412835,0.44059,0.086407,0.011698
"Salvia lanata","no_life_form_on_database",2,9.100056,0.637254,0.450607,0.152071
"Salvia lanceolata","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia langlassei","perennial",10,8.865571,0.195098,0.061695,0.030414
"Salvia languidula","perennial",13,8.796131,0.26538,0.073603,0.023396
"Salvia lanigera","perennial",13,6.73477,0.606915,0.168328,0.023396
"Salvia lankongensis","perennial",NA,NA,NA,NA,NA
"Salvia lasiantha","perennial",31,8.437721,0.513742,0.092271,0.009811
"Salvia lasiocephala","annual",82,8.980308,0.612398,0.067628,0.003709
"Salvia lavanduloides","perennial",67,8.707513,0.49107,0.059994,0.004539
"Salvia leptophylla","no_life_form_on_database",17,8.244318,0.492228,0.119383,0.017891
"Salvia leptostachys","annual",24,8.346405,0.373259,0.076191,0.012673
"Salvia leriifolia","perennial",NA,NA,NA,NA,NA
"Salvia leucantha","perennial",30,8.602697,0.520504,0.095031,0.010138
"Salvia leucocephala","perennial",NA,NA,NA,NA,NA
"Salvia leucochlamys","perennial",1,9.009081,NA,NA,0.304142
"Salvia leucodermis","perennial",5,9.203323,0.150563,0.067334,0.060828
"Salvia leucophylla","perennial",14,7.582401,0.516158,0.137949,0.021724
"Salvia liguliloba","annual",3,9.306052,0.280744,0.162088,0.101381
"Salvia limbata","perennial",9,8.001444,0.345631,0.11521,0.033794
"Salvia lineata","perennial",NA,NA,NA,NA,NA
"Salvia littae","perennial",9,8.761644,0.233614,0.077871,0.033794
"Salvia lobbii","perennial",NA,NA,NA,NA,NA
"Salvia longispicata","no_life_form_on_database",34,8.86905,0.482083,0.082677,0.008945
"Salvia longistyla","perennial",15,8.744186,0.261686,0.067567,0.020276
"Salvia lophanthoides","perennial",NA,NA,NA,NA,NA
"Salvia lutescens","perennial",24,9.766435,0.304724,0.062202,0.012673
"Salvia lycioides","perennial",33,7.610939,0.268074,0.046666,0.009216
"Salvia lyrata","no_life_form_on_database",81,9.024399,0.152923,0.016991,0.003755
"Salvia macrophylla","perennial",NA,NA,NA,NA,NA
"Salvia madrensis","perennial",2,8.808305,0.133726,0.094559,0.152071
"Salvia mairei","perennial",NA,NA,NA,NA,NA
"Salvia majdae","perennial",NA,NA,NA,NA,NA
"Salvia manantlanensis","perennial",2,9.039908,0.145224,0.102689,0.152071
"Salvia marashica","perennial",NA,NA,NA,NA,NA
"Salvia margaritae","perennial",2,7.98361,0.140587,0.09941,0.152071
"Salvia maximowicziana","perennial",11,9.008999,0.222891,0.067204,0.027649
"Salvia maymanica","perennial",NA,NA,NA,NA,NA
"Salvia meiliensis","perennial",NA,NA,NA,NA,NA
"Salvia melaleuca","perennial",4,9.449138,0.354398,0.177199,0.076035
"Salvia melissiflora","perennial",18,9.488778,0.183604,0.043276,0.016897
"Salvia melissodora","perennial",38,8.320904,0.364845,0.059186,0.008004
"Salvia mellifera","perennial",25,7.651229,0.557432,0.111486,0.012166
"Salvia merjamie","perennial",14,8.333466,0.701753,0.187551,0.021724
"Salvia mexiae","perennial",NA,NA,NA,NA,NA
"Salvia mexicana","perennial",54,8.556795,0.465039,0.063284,0.005632
"Salvia microphylla","perennial",75,8.23188,0.566097,0.065367,0.004055
"Salvia microstegia","perennial",4,8.582743,0.237081,0.11854,0.076035
"Salvia miltiorrhiza","perennial",55,8.88449,0.462256,0.062331,0.00553
"Salvia minarum","perennial",15,9.185608,0.105434,0.027223,0.020276
"Salvia miniata","perennial",4,9.387608,0.378933,0.189467,0.076035
"Salvia misella","annual",141,8.695129,0.631125,0.05315,0.002157
"Salvia mocinoi","perennial",46,8.95136,0.314047,0.046304,0.006612
"Salvia modesta","perennial",NA,NA,NA,NA,NA
"Salvia mohavensis","perennial",16,6.579639,0.557106,0.139276,0.019009
"Salvia moniliformis","perennial",5,8.752018,0.3298,0.147491,0.060828
"Salvia montbretii","perennial",NA,NA,NA,NA,NA
"Salvia moorcroftiana","perennial",17,8.161518,0.620592,0.150516,0.017891
"Salvia muelleri","perennial",NA,NA,NA,NA,NA
"Salvia muirii","no_life_form_on_database",1,8.017637,NA,NA,0.304142
"Salvia multicaulis","perennial",12,7.728943,0.993042,0.286667,0.025345
"Salvia munzii","perennial",13,7.405052,0.507528,0.140763,0.023396
"Salvia muscarioides","perennial",4,8.522445,0.135016,0.067508,0.076035
