species,life_form,,
Epilobium cylindricum D.Don,perennial,,
Epilobium hornemannii Rchb.,perennial,,
Epilobium lactiflorum Hausskn.,perennial,,
Epilobium leptophyllum Raf.,perennial,,
Epilobium sikkimense Hausskn.,perennial,,
Epilobium anagallidifolium Lam.,perennial,,
Epilobium lanceolatum Sebast. & Mauri,perennial,,
Epilobium montanum L.,perennial,,
Epilobium arcticum Sam.,perennial,,
Epilobium hirsutum L.,perennial,,
Epilobium luteum Pursh,perennial,,
Epilobium obcordatum A.Gray,perennial,,
Epilobium palustre L.,perennial,,
Epilobium obscurum Schreb.,perennial,,
Epilobium tetragonum L.,perennial,,
Epilobium ciliatum Raf.,perennial,,
Epilobium davuricum Fisch. ex Hornem.,perennial,,
Epilobium parviflorum Schreb.,perennial,,
Epilobium alsinifolium Vill.,perennial,,
Epilobium nerterioides A.Cunn.,perennial,,
Epilobium pallidiflorum Sol. ex A.Cunn.,perennial,,
Epilobium pedunculare A.Cunn.,perennial,,
Epilobium rotundifolium G.Forst.,perennial,,
Epilobium chlorifolium Hausskn.,perennial,,
Epilobium wilsonii Petrie,perennial,,
Epilobium nummularifolium R.Cunn. ex A.Cunn.,perennial,,
Epilobium pallidum Tausch ex Hausskn.,annual,,
Epilobium subdentatum (Meyen) Lievens & Hoch Lievens & Hoch (Meyen),annual,,
Epilobium densiflorum (Lindl.) Hoch & P.H.Raven Hoch & P.H.Raven (Lindl.),annual,,
Epilobium septentrionale (D.D.Keck) R.N.Bowman & Hoch R.N.Bowman & Hoch (D.D.Keck),perennial,,
Epilobium torreyi (S.Watson) Hoch & P.H.Raven Hoch & P.H.Raven (S.Watson),annual,,
Epilobium cleistogamum (Curran) Hoch & P.H.Raven Hoch & P.H.Raven (Curran),annual,,
Epilobium pygmaeum (Speg.) Hoch & P.H.Raven Hoch & P.H.Raven (Speg.),no_life_form_on_database,,
Epilobium foliosum Hochst.,annual,,
Epilobium minutum Lindl. ex Lehm.,annual,,
Epilobium nevadense Munz,perennial,,
Epilobium suffruticosum Nutt.,perennial,,
Epilobium canum (Greene) P.H.Raven P.H.Raven (Greene),perennial,,
Epilobium brachycarpum Leight.,annual,,
Epilobium rigidum Hausskn.,perennial,,
Chamerion angustifolium (L.) Scop. Scop. (L.),perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Chamerion conspersum (Hausskn.) Holub Holub (Hausskn.),perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Chamerion latifolium (L.) Holub Holub (L.),perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Chamerion dodonaei (Vill.) Holub Holub (Vill.),no_life_form_on_database,,
Gongylocarpus fruticulosus Brandegee,perennial,,
Lopezia grandiflora Zucc.,perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Lopezia laciniata (Rose) M.E.Jones M.E.Jones (Rose),perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Lopezia langmaniae Miranda,perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Lopezia racemosa Cav.,no_life_form_on_database,,
"Lopezia lopezioides (Hook. & Arn.) Plitmann, Raven & Breedlove Plitmann, Raven & Breedlove (Hook. & Arn.)",no_life_form_on_database,,
Megacorax gracielanus S.González & W.L.Wagner,perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Fuchsia hartwegii Benth.,perennial,,
Fuchsia nigricans Linden,perennial,,
Fuchsia magdalenae Munz,perennial,,
Fuchsia andrei I.M.Johnst.,perennial,,
Fuchsia macrostigma Benth.,perennial,,
Fuchsia decussata Ruiz & Pav.,perennial,,
Fuchsia denticulata Ruiz & Pav.,perennial,,
Fuchsia boliviana Carrière,perennial,,
Fuchsia pachyrrhiza P.E.Berry & B.A.Stein,perennial,,
Fuchsia vargasiana Munz ex Vargas,perennial,,
Fuchsia triphylla L.,perennial,,
