"","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state"
"Eumalvoideae.Cristaria_gracilis",0.444776345115211,0.0658369161398632,0.140339447563083,8.12362942374067,8.17695856709585,1.0991359954198,"annual"
"Eumalvoideae.Plagianthus_regius",0.0120353151418362,0.0658369161398632,0.113347604068487,8.21035368897759,8.21035368897759,0.875313104593599,"perennial"
"Eumalvoideae.Alcea_rugosa",0.012035298115264,0.0658369161398632,0.113347604052862,8.21035368897759,8.20737665271821,0.876309512336582,"perennial"
"Eumalvoideae.Anisodontea_capensis",0.0120354502602853,0.0658369161398632,0.113347604052862,8.21035695373407,8.20737665271841,0.876309512337998,"perennial"
"Eumalvoideae.Anisodontea_malvastroides",0.0120352993434878,0.0658369161398632,0.113347604052862,8.21035371533305,8.20737665271841,0.876309512337998,"perennial"
"Eumalvoideae.Callirhoe_involucrata",0.0122503659961186,0.0658369161398632,0.11334760320852,8.21034523915112,8.20737665271662,0.876309512324814,"perennial"
"Eumalvoideae.Malacothamnus_fasciculatus",0.012035436946138,0.0658369161398632,0.113347604180262,8.21035368897759,8.20718212309004,0.876337941784725,"perennial"
"Eumalvoideae.Phymosia_umbellata",0.0140660777226958,0.0658369161398632,0.113349245932305,8.21035339204418,8.20718212309004,0.876337941784725,"perennial"
"Eumalvoideae.Fuertesimalva_chilensis",0.444811559544978,0.0658369161398632,0.140339789241685,8.12361689131725,8.1869467846723,1.04931814933961,"annual"
"Eumalvoideae.Fuertesimalva_echinata",0.444808711181776,0.0658369161398632,0.140340724909857,8.12361717633843,8.1872376475196,1.04932003906688,"annual"
"Eumalvoideae.Fuertesimalva_limensis",13.6284733010632,0.0658369161398632,0.123925136244843,8.21444547577761,8.1881146578358,1.04243811071053,"perennial"
"Eumalvoideae.Fuertesimalva_peruviana",0.44481072565769,0.0658369161398632,0.140339444882776,8.12362797340346,8.18694800752032,1.04931686183822,"annual"
"Eumalvoideae.Kearnemalvastrum_lacteum",0.0120553542048564,0.0658369161398632,0.113347604052862,8.21035288569231,8.20540867405325,0.876918098266232,"perennial"
"Eumalvoideae.Eremalche_exilis",0.444794708696672,0.0658369161398632,0.140339477077806,8.12363403798015,8.17236776565835,1.1121853949785,"annual"
"Eumalvoideae.Eremalche_parryi",0.444758071574011,0.0658369161398632,0.140339477808982,8.12365581217364,8.17236776565835,1.1121853949785,"annual"
"Eumalvoideae.Eremalche_rotundifolia",0.44471953546822,0.0658369161398632,0.140339479882282,8.1236619022387,8.17238533468534,1.11218545077985,"annual"
"Eumalvoideae.Sidalcea_hartwegii",0.444530263025793,0.0658369161398632,0.140339498092578,8.12407952185742,8.17244629795023,1.11218545077985,"annual"
"Eumalvoideae.Malvastrum_americanum",0.444457056075585,0.0658369161398632,0.140339477623183,8.12402908726273,8.17327899731598,1.08793495794224,"annual"
"Eumalvoideae.Nototriche_anthemidifolia",0.0120352981153296,0.0658369161398632,0.113347604052862,8.210353688979,8.19384697559104,0.912588187243695,"perennial"
"Eumalvoideae.Nototriche_turritella",0.0120353045746924,0.0658369161398632,0.113347604052862,8.21035382758522,8.1938469755909,0.912588187244769,"perennial"
"Eumalvoideae.Nototriche_pediculariifolia",0.012035298115264,0.0658369161398632,0.113347604052862,8.21035368897759,8.19384697559079,0.91258818724557,"perennial"
"Eumalvoideae.Tarasa_operculata",0.012035298115264,0.0658369161398632,0.113347604052862,8.21035368897759,8.19384697559186,0.912588187237555,"perennial"
"Eumalvoideae.Tarasa_capitata",0.0120352984036972,0.0658369161398632,0.113347604053127,8.21035368897759,8.19384697559232,0.91258818723409,"perennial"
