"","np","lnLik","DiscLik","ContLik","AIC","dAIC","AICwt"
"Brassiceae.CID_OUMV",11,135.102667005265,-35.0735494912713,174.949700599952,-248.20533401053,29.5081035512168,1.56391634481699e-07
"Cardamineae.CID_BM1",4,132.057255097809,-53.2672140099862,189.156299469909,-256.114510195617,53.1734477656158,2.73930431153805e-12
"Cardamineae.CID_OU1",5,153.019424634223,-52.6698660500706,209.273242476473,-296.038849268446,13.2491086927868,0.00127967698002908
"Cardamineae.CD_BMV",5,134.14658287727,-52.4957745495622,190.308764842373,-258.293165754539,50.9947922066938,8.1419667533783e-12
"Cardamineae.CD_OUV",6,156.67017559515,-52.6525522273515,212.889165504746,-301.340351190301,7.94760677093223,0.0181262043903986
"Cardamineae.CD_OUM",6,155.485907636184,-52.5191394961548,211.652260134571,-298.971815272368,10.3161426888649,0.00554607621087479
"Cardamineae.CD_OUMV",7,161.643978980617,-52.4834939832611,217.830464092138,-309.287957961233,0,0.964068194339547
"Cardamineae.CID_BMV",9,133.736305788836,-53.2516431604545,190.410753085919,-249.472611577672,59.8153463835611,9.8939639015407e-14
"Cardamineae.CID_OUV",10,154.178375761898,-54.9294257418559,212.383875399448,-288.356751523796,20.9312064374369,2.74760328897998e-05
"Cardamineae.CID_OUM",10,155.252411206151,-52.6274286747345,211.540756589001,-290.504822412302,18.7831355489311,8.04269675827804e-05
"Cardamineae.CID_OUMV",11,161.159002571688,-52.9688761413883,217.714188125734,-300.318005143376,8.96995281785718,0.0108719450676977
"Cardueae.CID_BM1",4,204.949744574997,-75.2906034970878,283.797736591746,-401.899489149994,10.2710237551161,0.00320915463559442
"Cardueae.CID_OU1",5,210.866303519907,-76.2352622040696,288.185693327658,-411.732607039814,0.437905865295534,0.438152268075931
"Cardueae.CD_BMV",5,207.359934987069,-74.5184764203266,285.801219679444,-404.719869974139,7.45064293097107,0.013147057392289
"Cardueae.CD_OUV",6,194.403697224713,-74.6018788979916,272.627438883359,-376.807394449426,35.3631184556839,1.14211940521231e-08
"Cardueae.CD_OUM",6,212.085256452555,-75.222446320992,290.842745424345,-412.17051290511,0,0.545399976115583
"Cardueae.CD_OUMV",7,200.701203399793,-74.7777184925837,279.020596431328,-387.402406799587,24.7681061055232,2.28238660673897e-06
"Cardueae.CID_BMV",9,206.352516525456,-74.1636936954968,283.654818527217,-394.705033050912,17.465479854198,8.79294491300563e-05
"Cardueae.CID_OUV",10,191.225930965025,-75.214762242849,268.28420893388,-362.451861930051,49.7186509750591,8.71860960322341e-12
"Cardueae.CID_OUM",10,203.154001867593,-78.0413648949424,284.780447807991,-386.308003735187,25.8625091699228,1.32051276650345e-06
"Cardueae.CID_OUMV",11,190.84271320283,-74.0114748005997,268.042326645762,-359.68542640566,52.4850864994496,2.18636864333285e-12
"CES.CID_BM1",4,61.3377196584686,-14.289656532665,79.2356020806162,-114.675439316937,3.1998510984312,0.154268745817948
"CES.CID_OU1",5,61.0985181697338,-14.1951392570507,79.0795883452716,-112.197036339468,5.67825407590085,0.0446786024881641
"CES.CD_BMV",5,63.9376452076842,-18.3577906266525,79.6930240310678,-117.875290415368,0,0.764041214521769
"CES.CD_OUV",6,55.6704555203754,-14.227056595048,73.5756068340288,-99.3409110407508,18.5343793746176,7.21817558633251e-05
"CES.CD_OUM",6,61.7522824852487,-14.1869117897685,80.3623820573148,-111.504564970497,6.37072544487096,0.0316032199004317
"CES.CD_OUMV",7,57.6367719268761,-14.2157342990317,75.5826847679405,-101.273543853752,16.6017465616163,0.00018971135476761
"CES.CID_BMV",9,62.8637973193592,-14.536337495796,81.3826292496842,-107.727594638718,10.14769577665,0.00478159343280078
"CES.CID_OUV",10,55.8458054803997,-14.4631037595812,73.92062678259,-91.6916109607995,26.183679454569,1.5754442328608e-06
"CES.CID_OUM",10,61.2854616163035,-14.0966126738476,79.2222275785364,-102.570923232607,15.3043671827615,0.000362923990951786
"CES.CID_OUMV",11,54.9271985267713,-16.4339097945536,76.7408025257875,-87.8543970535427,30.0208933618258,2.31293070641367e-07
"Chamaecrista.CID_BM1",4,230.718694247271,-14.2745352547659,248.505154656275,-453.437388494542,11.2841581791986,0.0030101243575802
"Chamaecrista.CID_OU1",5,237.36077333687,-14.027368625745,254.823041727462,-464.721546673741,0,0.849001100309826
"Chamaecrista.CD_BMV",5,232.07727867985,-14.0318704859384,250.928892197181,-454.1545573597,10.5669893140403,0.00430839663859942
"Chamaecrista.CD_OUV",6,228.001267071236,-13.8392402889459,245.695353215431,-444.002534142472,20.7190125312687,2.6904928775127e-05
"Chamaecrista.CD_OUM",6,236.583692430403,-13.889760696251,253.98052192791,-461.167384860807,3.55416181293407,0.143592521397067
"Chamaecrista.CD_OUMV",7,228.755662770179,-13.9983337110237,246.306985604196,-443.511325540359,21.2102211333817,2.10458879574989e-05
"Chamaecrista.CID_BMV",9,231.371960069874,-13.8751408885633,249.425690593053,-444.743920139747,19.9776265339934,3.89781991743065e-05
"Chamaecrista.CID_OUV",10,227.785739192854,-14.2243834241279,245.356406840049,-435.571478385709,29.1500682880318,3.97238516005735e-07
"Chamaecrista.CID_OUM",10,227.62423910167,-17.7192705789199,248.506695521805,-435.248478203341,29.4730684703997,3.37996927458359e-07
"Chamaecrista.CID_OUMV",11,228.064128603872,-13.8373234863431,245.652810037731,-434.128257207745,30.593289465996,1.9304557622758e-07
"Chorisporeae.CID_BM1",4,15.1547467779562,-4.69024758297575,23.6714846057677,-22.3094935559123,11.1235656032122,0.00236116445950724
"Chorisporeae.CID_OU1",5,17.8374666234074,-4.67312809565445,26.3644897863918,-25.6749332468149,7.75812591230967,0.0127034645801181
"Chorisporeae.CD_BMV",5,18.6467979851429,-4.7324525259147,26.5485770154262,-27.2935959702858,6.13946318883875,0.0285371320890625
"Chorisporeae.CD_OUV",6,17.1030254606645,-4.67677719286546,25.657990002111,-22.2060509213291,11.2270082377954,0.00224214634112967
"Chorisporeae.CD_OUM",6,22.0732094543021,-4.7096312931921,30.1813343807712,-32.1464189086043,1.28664025052027,0.322988780956869
"Chorisporeae.CD_OUMV",7,23.7165295795623,-4.61132762150337,32.0424968367326,-33.4330591591245,0,0.61457914347483
"Chorisporeae.CID_BMV",9,17.9401427743776,-4.73069654536822,25.9190761712708,-17.8802855487551,15.5527736103694,0.000257831478603626
"Chorisporeae.CID_OUV",10,17.6344623214352,-4.74572128574898,26.1420603877184,-15.2689246428704,18.1641345162542,6.98692567471963e-05
"Chorisporeae.CID_OUM",10,21.9415302402672,-4.70438075682572,29.582334711533,-23.8830604805343,9.54999867859021,0.00518587391736572
