"wcvp_name","gbif_name"
"Lagochilus platyacanthus","Lagochilus platyacanthus Rupr."
"Tragopogon bombycinus","Tragopogon bombycinus Gredilla"
"Tragopogon bornmuelleri","Tragopogon bornmuelleri Ownbey & Rech.fil."
"Tragopogon bornmuelleri var. latifolius","Tragopogon bornmuelleri var. latifolius S.R.Safavi & Maroofi"
"Tragopogon borysthenicus","Tragopogon borystenicus Artemczuk"
"Tragopogon brevirostris","Tragopogon brevirostris DC."
"Tragopogon buphthalmoides","Tragopogon buphthalmoides (DC.) Boiss. Boiss. (DC.)"
"Tragopogon capitatus","Tragopogon capitatus Nikitin"
"Tragopogon caricifolius","Tragopogon caricifolius Boiss."
"Lagochilus platycalyx","Lagochilus platycalyx Schrenk ex Fisch. & C.A.Mey."
"Tragopogon castellanus","Tragopogon castellanus Leresche & Levier"
"Tragopogon cazorlanus","Tragopogon cazorlanus C.Díaz & Blanca"
"Tragopogon charadzae","Tragopogon charadzae Kuth."
"Lagochilus proskorjakovii","Lagochilus proskorjakovii Ikramov"
"Tragopogon coelesyriacus","Tragopogon coelesyriacus Boiss."
"Tragopogon colchicus","Tragopogon colchicus Albov"
"Tragopogon collinus","Tragopogon collinus DC."
"Tragopogon coloratus","Tragopogon coloratus C.A.Mey."
"Tragopogon conduplicatus","Tragopogon conduplicatus Nikitin"
"Lagochilus pubescens","Lagochilus pubescens Vved."
"Pilosella notha","Pilosella notha (Huter) Soják Soják (Huter)"
"Pilosella novosibirskensis","Pilosella novosibirskensis Tupitz."
"Pilosella occidentalis","Pilosella occidentalis (Nyár.) Soják Soják (Nyár.)"
"Lagochilus pungens","Lagochilus pungens Schrenk"
"Pilosella onegensis","Pilosella onegensis Norrl."
"Pilosella oroasturica","Pilosella ×oroasturica Mateo & Egido"
"Pilosella oroasturica subsp. oroasturica","Pilosella ×oroasturica subsp. oroasturica Mateo & Egido"
"Pilosella oroasturica subsp. littoralis","Pilosella ×oroasturica subsp. littoralis Mateo & Egido"
"Pilosella orogaliciana","Pilosella ×orogaliciana Mateo & Egido"
"Pilosella orolegionensis","Pilosella ×orolegionensis Mateo & Egido"
"Acalypha pubiflora","Acalypha pubiflora (Klotzsch) Baill. Baill. (Klotzsch)"
"Anthurium breviscapum","Anthurium breviscapum Kunth"
"Lagochilus quadridentatus","Lagochilus quadridentatus Jamzad"
"Pilosella pachycymigera","Pilosella pachycymigera (Gottschl.) Gottschl. Gottschl. (Gottschl.)"
"Pilosella pachypilon","Pilosella pachypila (Peter) Soják Soják (Peter)"
"Hieracium paniculatum","Hieracium paniculatum L."
"Lagochilus schugnanicus","Lagochilus schugnanicus Knorring"
"Pilosella pannoniciformis","Pilosella pannoniciformis (Litv. & Zahn) Soják Soják (Litv. & Zahn)"
"Pilosella panticosae","Pilosella ×panticosae Mateo"
"Lagochilus seravschanicus","Lagochilus seravschanicus Knorring"
"Pilosella paragoga","Pilosella paragoga (Nägeli & Peter) Soják Soják (Nägeli & Peter)"
"Pilosella paragogiformis","Pilosella paragogiformis (Besse & Zahn) Soják Soják (Besse & Zahn)"
"Hieracium patagonicum","Hieracium patagonicum Hook.fil."
"Scorzonera armeniaca","Scorzonera armeniaca (Boiss. & A.Huet) Boiss. Boiss. (Boiss. & A.Huet)"
"Podospermum roseum subsp. peristericum","Podospermum roseum subsp. peristericum (Formánek) Gemeinholzer & Greuter Gemeinholzer & Greuter (Formánek)"
"Scorzonera schischkinii","Scorzonera schischkinii Lipsch. & Vassilcz."
"Lagochilus setulosus","Lagochilus setulosus Vved."
"Pilosella pavichii","Pilosella pavichii (Heuff.) Holub Holub (Heuff.)"
"Pilosella pavichiodes","Pilosella pavichiodes S.Bräut. & Greuter"
"Pilosella × pawlowskiellum","Pilosella pawlowskiella (Merxm.) Holub Holub (Merxm.)"
"Pilosella peleteriana","Pilosella peleteriana (Mérat) F.W.Schultz & Sch.Bip. F.W.Schultz & Sch.Bip. (Mérat)"
"Pilosella peleteriana subsp. peleteriana","Pilosella peleteriana subsp. peleteriana"
"Lagochilus subhispidus","Lagochilus subhispidus Knorring"
"Scorzonera racemosa","Scorzonera racemosa Franch."
"Lagochilus taukumensis","Lagochilus taukumensis Tzukerv."
"Scorzonera radiata","Scorzonera radiata Fisch. ex Colla"
"Scorzonera renzii","Scorzonera renzii Rech.fil."
"Scorzonera rupicola","Scorzonera rupicola Hausskn."
"Scorzonera safievii","Scorzonera safievii Grossh."
"Scorzonera schweinfurthii","Scorzonera schweinfurthii Boiss."
"Scorzonera scopariiformis","Scorzonera scopariiformis Lipsch."
"Scorzonera scyria","Scorzonera scyria M.A.Gust. & Snogerup"
"Scorzonera sericeolanata","Scorzonera sericeolanata (Bunge) Krasch. & Lipsch. Krasch. & Lipsch. (Bunge)"
"Scorzonera serpentinica","Scorzonera serpentinica Rech.fil."
"Scorzonera sinensis","Scorzonera sinensis Lipsch. & Krasch."
"Lagochilus turkestanicus","Lagochilus turkestanicus Knorring"
"Scorzonera subaphylla","Scorzonera subaphylla Boiss."
"Pseudopodospermum suberosum","Pseudopodospermum suberosum (K.Koch) Kuth. Kuth. (K.Koch)"
"Pseudopodospermum suberosum subsp. suberosum","Pseudopodospermum suberosum subsp. suberosum"
"Anthurium brevispadix","Anthurium brevispadix Croat"
"Scorzonera suberosa subsp. cariensis","Scorzonera suberosa subsp. cariensis (Boiss.) D.F.Chamb. D.F.Chamb. (Boiss.)"
"Scorzonera sublanata","Scorzonera sublanata Lipsch."
"Pseudopodospermum szowitzii","Pseudopodospermum szowitzii (DC.) Kuth. Kuth. (DC.)"
"Scorzonera tadshikorum","Scorzonera tadshikorum Krasch. & Lipsch."
"Lagochilus vvedenskyi","Lagochilus vvedenskyi Kamelin & Tzukerv."
"Lagochilus xianjiangensis","Lagochilus xianjiangensis G.J.Liu"
"Scorzonera tragopogonoides","Scorzonera tragopogonoides Regel & Schmalh."
"Scorzonera transiliensis","Scorzonera transiliensis Popov"
"Scorzonera tuberculata","Scorzonera tuberculata J.Thiébaut"
"Scorzonera tunicata","Scorzonera tunicata Rech.fil. & Köie"
"Scorzonera turkestanica","Scorzonera turkestanica Franch."
"Scorzonera turkestanica subsp. turkestanica","Scorzonera turkestanica subsp. turkestanica"
"Scorzonera turkestanica subsp. susamyrica","Scorzonera turkestanica subsp. susamyrica Tagaev"
"Pseudopodospermum turkeviczii","Pseudopodospermum turkeviczii (Krasch. & Lipsch.) Kuth. Kuth. (Krasch. & Lipsch.)"
"Lagopsis eriostachya","Lagopsis eriostachya (Benth.) Ikonn.-Gal. Ikonn.-Gal. (Benth.)"
"Scorzonera tuzgoluensis","Scorzonera tuzgoluensis A.Duran, B.Dogan & Makbul"
"Pseudopodospermum undulatum subsp. undulatum","Pseudopodospermum undulatum subsp. undulatum"
"Scorzonera vavilovii","Scorzonera vavilovii Kult."
"Scorzonera veratrifolia","Scorzonera veratrifolia Fenzl"
"Scorzonera verrucosa","Scorzonera verrucosa (Boiss. & Balansa) Boiss. Boiss. (Boiss. & Balansa)"
"Gelasia villosa","Gelasia villosa (Scop.) Cass. Cass. (Scop.)"
"Lagopsis flava","Lagopsis flava Kar. & Kir."
"Gelasia villosa subsp. villosa","Gelasia villosa subsp. villosa"
"Scorzonera virgata","Scorzonera virgata DC."
"Scorzonera wendelboi","Scorzonera wendelboi Rech.fil."
"Scorzonera xylobasis","Scorzonera xylobasis Rech.fil."
"Scorzonera yemensis","Scorzonera yemensis Podl."
"Scorzonera yildirimlii","Scorzonera yildirimlii A.Duran & Hamzaoglu"
"Scorzonera zorkunensis","Scorzonera zorkunensis Coskunç. & Makbul"
"Scorzonera alpigena","Scorzonera alpigena (C.Koch) Grossh. Grossh. (C.Koch)"
"Lagopsis marrubiastrum","Lagopsis marrubiastrum (Stephan) Ikonn.-Gal. Ikonn.-Gal. (Stephan)"
"Lagopsis supina","Lagopsis supina (Stephan ex Willd.) Ikonn.-Gal. Ikonn.-Gal. (Stephan ex Willd.)"
"Scorzonera cana","Scorzonera cana (C.A.Mey.) O.Hoffm. O.Hoffm. (C.A.Mey.)"
"Scorzonera grigoraschvilii","Scorzonera grigoraschvilii (Sosn.) Lipsch. Lipsch. (Sosn.)"
"Scorzonera grossheimii","Scorzonera grossheimii Lipsch. & Vassil."
"Scorzonera idae","Scorzonera idae (Sosn.) Lipsch. Lipsch. (Sosn.)"
"Scorzonera kirpicznikovii","Scorzonera kirpicznikovii Lipsch."
"Scorzonera lachnostegia","Scorzonera lachnostegia (Woron.) Lipsch. Lipsch. (Woron.)"
"Scorzonera laciniata","Scorzonera laciniata L."
"Scorzonera laciniata subsp. laciniata","Scorzonera laciniata subsp. laciniata"
"Scorzonera laciniata subsp. decumbens","Scorzonera laciniata f. decumbens (Guss.) O.Bolòs & Vigo O.Bolòs & Vigo (Guss.)"
"Scorzonera lipschitzii","Scorzonera lipschitzii (Kuth.) Czerep. Czerep. (Kuth.)"
"Scorzonera meshhedensis","Scorzonera meshhedensis (Rech.fil.) Rech.fil. Rech.fil. (Rech.fil.)"
"Scorzonera meyeri","Scorzonera meyeri (K.Koch) Lipsch. Lipsch. (K.Koch)"
"Scorzonera persepolitana","Scorzonera persepolitana Boiss."
"Scorzonera purpurea","Scorzonera purpurea L."
"Scorzonera radicosa","Scorzonera radicosa Boiss."
"Scorzonera rosea","Scorzonera rosea Waldst. & Kit."
"Scorzonera rosea subsp. rosea","Scorzonera rosea subsp. rosea"
"Scorzonera songorica","Scorzonera songorica (Kar. & Kir.) Lipsch. & Vassilcz. Lipsch. & Vassilcz. (Kar. & Kir.)"
"Takhtajaniantha pusilla","Takhtajaniantha pusilla (Pall.) Nazarova Nazarova (Pall.)"
"Warionia saharae","Warionia saharae Benth. & Coss."
"Gundelia anatolica","Gundelia anatolica Firat"
