,np,lnLik,DiscLik,ContLik,AICc,dAICc,AICcwt
bio_1.Euclidieae.CD_OUMV,7,37.01290342,-11.69894065,53.23025686,-51.41042223,4.770889493,0.071837257
bio_1.Euclidieae.CID_BMV,9,31.05478165,-11.82296442,47.29768729,-27.74592693,28.43538479,5.22E-07
bio_1.Euclidieae.CID_OUV,10,30.98106496,-11.80434349,47.27165399,-19.96212992,36.2191818,1.07E-08
bio_1.Euclidieae.CID_OUM,10,34.77517805,-11.98463311,49.7406091,-27.55035609,28.63095563,4.73E-07
bio_1.Euclidieae.CID_OUMV,11,36.9483231,-11.73629384,53.2635882,-22.56331286,33.61799886,3.91E-08
bio_1.Euclidieae.HYB_BMV,11,31.06666891,-11.81586641,47.14751619,-10.80000449,45.38130723,1.09E-10
bio_1.Euclidieae.HYB_OUV,12,31.76712546,-11.72522894,47.98382531,-0.534250921,55.6470608,6.44E-13
bio_1.Euclidieae.HYB_OUM,12,35.39110151,-11.88439258,50.10955377,-7.78220302,48.3991087,2.41E-11
bio_1.Euclidieae.HYB_OUMV,15,36.94474169,-11.74946167,53.10369464,52.11051662,108.2918283,2.38E-24
bio_1.Eumalvoideae.CID_BM1,4,188.4306669,-45.14483165,237.9135173,-368.3851433,27.38710385,8.26E-07
bio_1.Eumalvoideae.CID_OU1,5,203.2475693,-45.08732148,252.809446,-395.7722471,0,0.730879273
bio_1.Eumalvoideae.CD_BMV,5,195.150122,-46.01265764,250.5550015,-379.5773524,16.19489467,0.000222417
bio_1.Eumalvoideae.CD_OUV,6,195.9507841,-45.35295715,245.4266819,-378.877178,16.89506911,0.000156721
bio_1.Eumalvoideae.CD_OUM,6,203.34215,-45.21704177,252.8243921,-393.6599098,2.112337277,0.254189399
bio_1.Eumalvoideae.CD_OUMV,7,195.9914334,-45.44292401,245.0695647,-376.6001507,19.17209637,5.02E-05
bio_1.Eumalvoideae.CID_BMV,9,195.9211086,-47.4705276,247.2023134,-371.5637362,24.20851088,4.05E-06
bio_1.Eumalvoideae.CID_OUV,10,205.3452307,-46.34565834,256.1255552,-387.8699486,7.902298536,0.014056698
bio_1.Eumalvoideae.CID_OUM,10,187.7980708,-46.09731806,237.3434214,-352.7756288,42.99661828,3.37E-10
bio_1.Eumalvoideae.CID_OUMV,11,195.1321474,-49.45313799,252.0845035,-364.8357234,30.93652369,1.40E-07
bio_1.Eumalvoideae.HYB_BMV,11,199.1779743,-49.50083172,244.7982659,-372.9273772,22.84486987,8.00E-06
bio_1.Eumalvoideae.HYB_OUV,12,204.5050285,-46.41675089,255.1409728,-380.9047939,14.86745318,0.000431936
bio_1.Eumalvoideae.HYB_OUM,12,186.7091038,-45.36860373,236.4186804,-345.3129444,50.45930274,8.07E-12
bio_1.Eumalvoideae.HYB_OUMV,15,201.6067532,-48.03335735,258.2201492,-366.6381639,29.13408319,3.45E-07
bio_1.Gesneriaceae.CID_BM1,4,658.9718589,-27.379753,690.8136149,-1309.759386,6.742611385,0.012513563
bio_1.Gesneriaceae.CID_OU1,5,661.928677,-27.33778679,693.7674357,-1313.579576,2.922421137,0.08451324
bio_1.Gesneriaceae.CD_BMV,5,659.5660567,-27.14595809,691.9037142,-1308.854336,7.647661715,0.007958877
bio_1.Gesneriaceae.CD_OUV,6,637.5451063,-27.37933278,669.2738867,-1262.699515,53.8024824,7.56E-13
bio_1.Gesneriaceae.CD_OUM,6,662.9977076,-28.3976715,693.6941357,-1313.604718,2.897279745,0.085582335
bio_1.Gesneriaceae.CD_OUMV,7,650.7384452,-27.39998267,682.3576606,-1286.953526,29.54847138,1.40E-07
bio_1.Gesneriaceae.CID_BMV,9,663.028341,-27.24967969,695.0179538,-1307.207625,9.294371945,0.0034936
bio_1.Gesneriaceae.CID_OUV,10,643.155523,-27.48138428,675.271817,-1265.268392,51.23360532,2.73E-12
bio_1.Gesneriaceae.CID_OUM,10,663.0079718,-27.46506764,694.7788961,-1304.97329,11.52870781,0.001143124
bio_1.Gesneriaceae.CID_OUMV,11,648.8691937,-27.47193668,680.8846812,-1274.481244,42.02075284,2.73E-10
bio_1.Gesneriaceae.HYB_BMV,11,669.5899848,-29.11723706,708.9801115,-1315.922827,0.579170579,0.272743961
bio_1.Gesneriaceae.HYB_OUV,12,670.2214666,-28.17062813,703.1769729,-1314.95011,1.551886999,0.167699766
bio_1.Gesneriaceae.HYB_OUM,12,644.5678161,-27.35739609,676.3851947,-1263.642809,52.85918816,1.21E-12
bio_1.Gesneriaceae.HYB_OUMV,15,674.4160472,-27.38303905,704.555106,-1316.501997,0,0.364351395
bio_1.Grewioideae.CID_BM1,4,213.9310316,-22.86698796,241.4377366,-419.2560025,7.378034738,0.012656569
bio_1.Grewioideae.CID_OU1,5,218.7785571,-23.03533883,246.2584933,-426.6340373,0,0.506332606
bio_1.Grewioideae.CD_BMV,5,214.5038508,-22.96564293,242.0227301,-418.0846247,8.549412566,0.007046193
bio_1.Grewioideae.CD_OUV,6,219.1948459,-22.9286619,246.7071442,-425.0771918,1.556845494,0.232472289
bio_1.Grewioideae.CD_OUM,6,219.232425,-22.8554233,246.7037871,-425.1523501,1.481687204,0.241374622
bio_1.Grewioideae.CD_OUMV,7,210.5152941,-22.92814955,237.9473384,-405.2528105,21.38122679,1.15E-05
bio_1.Grewioideae.CID_BMV,9,214.4628897,-22.94991549,242.2522486,-407.9749597,18.65907757,4.49E-05
bio_1.Grewioideae.CID_OUV,10,210.2727349,-23.02971209,237.7652876,-396.8788031,29.75523414,1.75E-07
bio_1.Grewioideae.CID_OUM,10,210.0888971,-27.52689927,241.3779529,-396.5111275,30.12290974,1.46E-07
